"HHID","h9q0","h9q1","h9q2","h9q3","h9q4","h9q5","h9q6","h9q7","h9q8","h9q9a","h9q9b","h9q10","h9q11b","h9q12","h9q13","h9q14","h9q15a","h9q15b","h9q15c","h9q16","h9q17","h9q18","h9q19","h9q20","h9q21","h9q22","h9q22a","h9q22b","h9q23","wgt_X"
"H09701-04-01",1,15,10,2,10,12,13,15,,30,5,0.25,5,2,,,"P09701-001","P09701-003","P09701-004",2,2,2,2,,5,12,1,3,2,2792.466796875
"H09705-04-01",1,10,10,3,10,12,13,10,,,,,3,1,1,30000,,,,2,2,2,1,,3,12,1,3,3,2792.466796875
"H09706-04-01",1,15,16,1,10,12,13,12,4,5,3,0.0199999995529652,2,1,2,15000,"P09706-001",,,2,2,2,1,1,3,12,2,,1,2792.466796875
"H09710-04-01",1,10,12,2,10,12,13,15,,20,0,2,3,2,,,"P09710-006","P09710-007",,2,2,2,1,,1,12,1,1,1,2792.466796875
"H09901-04-01",1,10,10,4,10,12,13,11,,,,,5,1,1,30000,,,,2,2,2,1,,3,11,2,,3,2792.466796875
"H09902-04-01",1,10,16,1,15,16,14,17,6,4,0,0.0500000007450581,1,2,,,"P09902-001","Z03",,2,4,2,2,2,5,17,,,,2792.466796875
"H09903-04-01",2,15,16,1,10,12,13,12,6,5,0,0,3,1,1,18000,"P09903-001","P09903-004","P09903-005",2,2,2,1,2,5,12,1,2,1,2792.466796875
"H09905-04-01",2,15,16,2,10,12,14,17,6,2,0,0.100000001490116,3,2,,,"P09905-002",,,2,1,2,1,2,3,17,,,,2792.466796875
"H09906-04-01",1,15,16,1,96,15,14,17,2,2,0,0,1,2,,,"P09906-003",,,2,2,2,1,2,1,17,,,,2792.466796875
"H09908-04-01",1,10,10,1,10,15,14,17,6,2,0,0.100000001490116,3,2,,,"P09908-003","P09908-002","P09908-004",2,1,2,1,2,3,17,,,,2792.466796875
"H09909-04-01",1,11,10,2,10,12,14,14,6,5,3,0,5,2,,,"P09909-002","P09909-003","P09909-005",2,2,1,1,2,1,17,,,,2792.466796875
"H09910-04-01",1,11,16,1,10,12,13,17,1,5,3,0,3,2,,,"P09910-001","P09910-004","P09910-003",2,2,2,2,2,1,17,,,,2792.466796875
"H10002-04-01",1,10,10,3,10,12,13,16,96,30,0,1,5,2,,,"P10002-006","P10002-007","P10002-008",1,2,2,1,2,3,12,1,2,1,2792.466796875
"H10003-04-01",1,10,10,4,10,12,16,21,,,,,5,2,,,,,,2,2,2,1,,8,12,2,,2,2792.466796875
"H10004-04-01",1,10,10,4,10,12,13,16,4,5,30,0.100000001490116,5,2,,,"P10004-006","P10004-007","P10004-008",1,2,2,1,1,2,12,2,,2,2792.466796875
"H10007-04-01",1,10,10,3,10,12,13,15,,20,5,0.5,5,1,1,36000,"Z03","P10007-022",,9,2,1,1,,8,11,2,,2,1396.2333984375
"H10007-04-02",1,10,10,2,10,12,16,18,,,,,10,1,1,45000,"Z03",,,9,2,2,1,,2,12,2,,1,1396.2333984375
"H10009-04-01",1,10,10,2,10,12,10,10,,,,,5,1,1,56000,,,,1,2,2,1,,5,12,1,5,2,1396.2333984375
"H10009-04-02",1,15,16,1,10,12,13,18,,,,,1,1,1,24000,"P10009-008",,,9,2,5,1,,5,12,2,,1,1396.2333984375
"H10010-04-01",1,10,10,5,10,12,16,11,,,,,5,1,1,25000,,,,2,2,2,1,,5,11,2,,2,2792.466796875
"H10011-04-01",1,11,10,2,10,12,16,10,,,,,3,1,1,10000,,,,9,2,2,1,,5,12,2,,3,2792.466796875
"H10201-04-01",2,15,16,1,10,12,13,11,,,,,2,1,1,8000,,,,2,2,2,1,,3,12,1,10,1,1396.23327636719
"H10201-04-02",2,10,10,2,10,12,13,12,6,6,0,0.200000002980232,2,1,1,12000,"P10201-009",,,2,1,2,1,1,3,12,2,,1,1396.23327636719
"H10205-04-01",2,15,16,1,10,12,13,15,,30,5,0.200000002980232,1,2,,,"P10205-003",,,2,2,2,2,,5,12,1,2,1,2792.46655273438
"H10207-04-01",1,10,10,2,10,12,10,16,1,3,2,0.200000002980232,3,2,,,"P10207-002","P10207-010","P10207-003",1,2,1,1,2,5,12,1,6,2,2792.46655273438
"H10209-04-01",1,15,12,1,10,12,10,18,,,,,1,1,8,9000,"Z03","Z03","Z03",9,2,2,1,,3,12,2,,1,2792.46655273438
"H10210-04-01",2,15,12,1,10,12,13,15,,10,2,0.200000002980232,2,2,,,"P10210-002","P10210-006",,1,2,2,1,,2,12,1,1,1,2792.46655273438
"H10303-04-01",1,10,12,2,10,12,13,22,,,,,0.5,1,1,1500,,,,2,4,8,1,,5,14,2,,1,2792.466796875
"H10304-04-01",2,10,10,3,10,12,13,11,,,,,5,1,1,30000,,,,9,2,8,1,,5,12,2,,2,2792.466796875
"H10306-04-01",1,11,12,1,10,12,14,16,4,10,1,0.5,3,2,,,"P10306-002",,,9,2,2,2,2,3,12,2,,1,2792.466796875
"H10309-04-01",1,10,10,3,10,12,13,10,,,,,2,1,1,20000,,,,2,2,1,1,,5,11,2,,1,2792.466796875
"H10311-04-01",2,10,10,2,10,12,14,16,96,20,10,0.5,40,2,,,"P10311-004","P10311-002","P10311-001",2,2,1,1,2,2,12,2,,2,2792.466796875
"H10312-04-01",1,10,10,3,10,12,13,12,6,5,2,0.25,3,1,1,12000,"P10312-004","P10312-003","P10312-005",2,2,2,1,1,5,12,2,,2,2792.466796875
"H10701-04-01",1,16,10,2,15,16,14,14,6,30,5,0.800000011920929,5,2,,,"P10701-001","P10701-005","P10701-006",1,4,1,1,2,2,15,1,1,1,757.547973632813
"H10701-04-02",3,16,10,1,15,16,14,14,6,10,2,0.5,5,1,2,3000,"P10701-004","P10701-011","Z02",1,4,1,1,2,2,15,2,,1,757.547973632813
"H10701-04-03",3,11,15,1,10,16,13,15,,30,0,1,3,2,,,"P10701-003",,,1,4,2,1,,5,13,1,10,1,757.547973632813
"H10702-04-01",1,10,10,5,10,12,13,14,6,60,30,2,5,2,,,"P10702-008","P10702-007",,1,4,1,1,2,1,13,2,,1,2272.64404296875
"H10703-04-01",3,10,10,3,10,16,14,14,6,40,5,1,10,2,,,"P10703-002","P10703-003","P10703-007",1,4,1,1,2,1,13,2,,1,2272.64404296875
"H10704-04-01",1,10,10,7,10,12,14,14,6,30,8,1.10000002384186,9,1,2,5000,"P10704-008","P10704-002","P10704-007",1,4,1,1,2,2,12,2,,1,1136.32202148438
"H10704-04-02",3,10,10,3,10,12,14,15,,60,7,2,6,2,,,"P10704-005","P10704-024","P10704-022",9,4,1,1,,1,17,,,,1136.32202148438
"H10706-04-01",1,16,10,2,15,16,14,16,6,20,1,0.300000011920929,6,2,,,"P10706-002","P10706-003","P10706-015",2,4,1,1,1,2,13,2,,1,1136.32202148438
"H10706-04-02",2,10,10,2,10,12,14,14,6,10,5,0.200000002980232,10,2,,,"P10706-013","P10706-011","P10706-012",1,4,1,2,2,2,15,2,,1,1136.32202148438
"H10707-04-01",1,16,10,2,15,16,14,14,6,25,8,1,7,1,2,5000,"P10707-002","P10707-003","P10707-005",2,4,1,1,2,5,13,2,,1,2272.64404296875
"H10708-04-01",1,10,10,3,10,12,14,14,6,60,30,3,5,2,,,"P10708-003","P10708-005","P10708-006",1,3,1,1,2,1,13,2,,1,2272.64404296875
"H10709-04-01",1,10,10,3,10,12,14,14,6,30,8,0.899999976158142,4,1,2,500,"P10709-004","P10709-005","P10709-002",2,4,1,1,1,5,13,1,5,1,2272.64404296875
"H10710-04-01",1,10,10,13,10,12,13,14,6,50,60,1,20,1,2,2000,"P10710-008","P10710-007","P10710-009",1,4,4,1,1,2,12,2,,1,454.52880859375
"H10710-04-02",3,15,16,1,10,12,13,96,96,5,0,0.0500000007450581,2,2,,,"P10710-003",,,1,4,2,1,2,8,12,1,1,1,454.52880859375
"H10710-04-03",1,10,10,3,10,12,13,12,6,0,0,2,20,1,1,2000,"Z03",,,1,2,1,1,2,8,12,1,,2,454.52880859375
"H10710-04-04",1,10,10,1,10,12,14,15,,60,3,1.5,1,1,1,500,"P10710-004",,,1,4,2,1,,1,13,1,2,1,454.52880859375
"H10710-04-05",1,16,10,1,15,16,14,14,6,20,5,0.5,5,2,,,"P10710-016","P10710-018","P10710-035",1,4,1,1,2,5,13,2,,1,454.52880859375
"H10801-04-01",2,16,10,2,15,16,14,14,6,10,5,0.5,5,2,,,"P10801-007",,,1,4,2,2,2,2,13,2,,1,2272.64404296875
"H10802-04-01",1,16,10,4,15,16,14,14,2,2,0,0.00999999977648258,18,2,,,"P10802-003","P10802-004","P10802-005",2,3,1,1,1,2,13,2,,1,2272.64404296875
"H10803-04-01",1,16,10,3,15,16,14,14,96,30,10,0.5,10,1,2,1000,"P10803-007","P10803-006","P10803-008",1,4,1,1,2,2,13,2,,1,757.547973632813
"H10803-04-02",1,16,10,1,15,16,14,14,6,10,5,0.200000002980232,3,1,2,1000,"P10803-005",,,1,4,1,1,1,5,13,1,2,1,757.547973632813
"H10803-04-03",3,16,10,1,15,16,14,14,2,20,5,0.25,3,1,2,1000,"P10803-021","P10803-017",,1,8,1,1,2,5,13,2,,1,757.547973632813
"H10804-04-01",1,16,10,3,15,14,15,14,1,20,10,0.5,2.5,1,1,500,"P10804-002","P10804-006",,1,4,1,1,1,5,15,1,1,3,2272.64404296875
"H10805-04-01",1,16,10,3,15,16,14,14,6,20,5,0.800000011920929,10,2,,,"P10805-001","P10805-004","P10805-006",1,4,1,1,2,5,13,2,,1,2272.64404296875
"H10806-04-01",1,16,10,2,15,16,14,14,1,30,2,0.400000005960464,100,1,2,1000,"P10806-003","P10806-004","P10806-005",1,4,1,1,1,1,15,1,1,1,2272.64404296875
"H10807-04-01",1,16,10,4,15,16,14,14,96,50,30,1,20,1,2,1500,"P10807-002","P10807-005",,1,4,1,1,2,2,13,2,,1,1136.32202148438
"H10807-04-02",1,16,10,1,15,16,14,14,96,5,30,0,5,1,2,1500,"P10807-004",,,1,4,1,1,2,2,13,1,3,1,1136.32202148438
"H10809-04-01",1,10,10,1,10,11,13,16,2,30,5,1.29999995231628,1.5,2,,,"P10809-002","P10809-004",,2,4,1,1,1,2,14,2,,1,2272.64404296875
"H10810-04-01",1,10,10,2,15,16,14,14,1,25,6,1.60000002384186,5,1,2,500,"P10810-002","P10810-001","P10810-003",1,4,1,1,1,2,15,1,2,1,2272.64404296875
"H10902-04-01",1,16,10,1,15,16,14,14,6,20,7,0.200000002980232,1.5,2,,,"P10902-001",,,1,4,2,1,1,5,13,1,3,1,2272.64404296875
"H10904-04-01",1,16,10,1,15,14,14,14,6,10,60,1,10,1,2,5000,"P10904-001","P10904-002","P10904-006",1,4,1,1,1,2,15,2,,1,2272.64404296875
"H10905-04-01",1,16,10,3,15,16,14,14,2,30,8,0.800000011920929,15,1,2,3000,"P10905-009","P10905-004","P10905-010",1,4,1,1,1,3,15,1,1,1,2272.64404296875
"H10906-04-01",1,11,10,1,10,12,14,14,2,60,8,2,15,1,2,3000,"P10906-002","P10906-003","P10906-004",1,4,1,1,1,2,17,,,,2272.64404296875
"H10908-04-01",1,16,10,1,15,14,14,14,6,5,20,0.5,5,1,2,500,"P10908-002","P10908-006","P10908-005",1,4,2,2,1,2,17,,,,2272.64404296875
"H10909-04-01",1,10,10,3,10,12,14,14,6,15,15,0.5,5,1,2,1000,"P10909-018","P10909-014","P10909-015",1,4,1,1,1,8,12,2,,1,568.161010742188
"H10909-04-02",1,10,10,3,10,12,13,14,6,40,5,1,2,1,2,1000,"P10909-034","P10909-035","P10909-036",1,4,1,1,1,2,13,2,,1,568.161010742188
"H10909-04-03",3,15,12,1,10,12,13,10,,,,,4,1,1,5000,,,,9,4,2,1,,5,11,1,4,1,568.161010742188
"H10909-04-04",1,10,10,3,10,12,13,14,6,14,60,0.5,10,1,2,1000,"P10909-009","P10909-062","P10909-061",1,4,1,1,1,2,13,2,,1,568.161010742188
"H10910-04-01",1,10,10,5,10,12,13,14,6,30,20,1,20,2,,,"P10910-002","P10910-004","P10910-006",1,4,1,1,2,2,12,2,,1,2272.64404296875
"H11001-04-01",1,16,10,2,15,16,14,14,6,5,5,0.100000001490116,10,2,,,"P11001-004","P11001-005","P11001-006",1,4,2,1,1,5,17,,,,2272.64404296875
"H11002-04-01",1,10,10,4,10,16,13,15,,60,0,1,10,2,,,"P11002-002","P11002-008","P11002-006",2,4,1,1,,1,13,2,,1,2272.64404296875
"H11003-04-01",1,10,10,1,15,16,14,14,1,30,4,1,3,1,2,1000,"P11003-001","P11003-002",,1,4,2,1,1,1,15,2,,1,2272.64404296875
"H11006-04-01",1,16,10,1,15,16,14,14,96,10,2,0.5,6,2,,,"P11006-008",,,2,4,2,1,1,5,14,1,2,1,2272.64404296875
"H11007-04-01",1,16,10,1,15,16,14,14,2,30,4,2,4,1,2,1000,"P11007-011",,,1,2,1,1,2,2,13,2,,1,2272.64404296875
"H11009-04-01",1,16,10,3,15,16,14,14,2,7,1,0.200000002980232,5,2,,,"P11009-005",,,1,4,2,1,1,2,15,2,,1,2272.64404296875
"H11010-04-01",1,10,10,3,10,16,14,14,6,40,5,1,5,1,2,1000,"P11010-002",,,1,4,1,1,1,1,13,2,,1,2272.64404296875
"H11011-04-01",1,10,10,3,10,12,10,14,2,20,5,0.5,7,1,1,1000,"P11011-001","P11011-002",,1,4,1,1,2,2,13,1,2,1,2272.64404296875
"H11403-04-01",1,11,15,2,10,12,13,12,2,15,4,0.5,7,1,1,15000,"P11403-003","P11403-002","P11403-001",2,2,2,1,1,2,12,1,5,1,2272.64404296875
"H11405-04-01",1,10,10,3,10,11,13,12,2,10,3,0.300000011920929,6,2,,,"P11405-004","P11405-002","P11405-007",2,2,1,1,1,2,12,2,,1,2272.64404296875
"H11406-04-01",1,15,10,1,10,16,13,12,6,5,5,0.100000001490116,4,1,1,9000,"P11406-003",,,2,4,1,1,1,5,13,1,6,1,2272.64404296875
"H11409-04-01",1,10,16,4,10,12,13,12,96,5,30,0,5,1,1,30000,"P11409-003","P11409-002","P11409-007",2,2,2,1,2,3,13,2,,1,2272.64404296875
"H11410-04-01",1,14,14,1,10,12,13,14,6,10,5,0.100000001490116,2,2,,,"Z01","Z03",,1,4,2,1,1,5,12,1,1,2,2272.64404296875
"H11414-04-01",1,11,16,3,10,12,13,12,6,10,5,0,20,1,1,30000,"P11414-016","P11414-008","P11414-003",2,1,1,1,2,5,12,1,7,1,2272.64404296875
"H11501-04-01",1,10,10,2,10,12,13,12,6,10,2,0.200000002980232,3,1,1,7000,"P11501-023","P11501-014","P11501-022",2,4,2,1,2,5,12,2,,1,2272.64404296875
"H11502-04-01",1,15,16,1,10,12,13,12,6,5,3,0.0500000007450581,3,1,1,13500,"P11502-004",,,1,1,1,1,1,5,12,2,,1,1136.32202148438
"H11502-04-02",3,15,10,3,10,12,13,14,96,10,5,0.100000001490116,10,2,,,"P11502-002",,,1,4,1,1,2,2,12,1,7,1,1136.32202148438
"H11504-04-01",1,15,16,3,10,12,13,12,6,10,30,0,5,1,1,18000,"P11504-002","P11504-011",,1,1,1,1,1,3,12,2,,3,2272.64404296875
"H11505-04-01",1,10,10,3,10,12,13,14,6,12,6,0.100000001490116,4,2,,,"P11505-004","P11505-006","P11505-008",2,4,1,1,1,5,12,2,,1,2272.64404296875
"H11506-04-01",1,11,10,2,10,16,14,11,,,,,5,2,,,,,,2,2,1,1,,5,12,1,3,1,757.547973632813
"H11506-04-02",3,11,10,1,10,12,10,11,,,,,5,1,1,10000,,,,2,2,2,1,,5,12,1,3,1,757.547973632813
"H11506-04-03",3,11,10,2,10,12,13,20,,2,0,0.00100000004749745,10,2,,,"P11506-025",,,1,1,2,1,,5,11,1,1,1,757.547973632813
"H11507-04-01",1,10,10,5,10,12,14,14,6,5,3,0.100000001490116,10,1,2,3000,"P11507-004","P11507-006",,1,4,1,1,2,5,12,2,,1,2272.64404296875
"H11509-04-01",1,10,10,5,10,12,13,10,,,,,10,1,1,80000,,,,9,2,2,1,,5,11,2,,3,2272.64404296875
"H11510-04-01",1,10,10,7,10,12,13,10,,,,,10,1,1,90000,,,,9,2,2,1,,5,10,2,,1,2272.64404296875
"H11801-04-01",1,10,10,2,10,12,13,14,6,5,15,0.00999999977648258,4,2,,,"P11801-005","P11801-010","P11801-001",1,4,1,1,1,5,14,2,,3,2272.64404296875
"H11804-04-01",1,11,10,3,10,14,14,14,2,20,6,0.800000011920929,4,2,,,"P11804-002","P11804-003","P11804-004",1,4,1,1,1,2,14,1,1,1,2272.64404296875
"H11805-04-01",1,10,10,1,10,16,14,14,2,35,7,0.810000002384186,4,1,2,1000,"P11805-003","P11805-002",,2,4,1,1,1,2,15,2,,1,2272.64404296875
"H11806-04-01",1,10,10,3,10,12,14,14,6,6,2,0.00999999977648258,6,1,2,1000,"P11806-003","P11806-005","P11806-006",2,4,1,1,1,5,13,2,,1,2272.64404296875
"H11807-04-01",1,10,10,2,10,16,14,16,96,40,30,1,5,2,,,"P11807-002",,,1,4,1,1,2,2,14,1,1,1,2272.64404296875
"H11808-04-01",1,10,10,4,10,12,14,14,6,3,15,0.100000001490116,5,1,2,2000,"P11808-003","P11808-004","P11808-007",1,4,1,1,1,5,14,1,3,2,1136.32202148438
"H11808-04-02",1,10,10,3,10,12,13,14,6,10,8,0.300000011920929,5,2,,,"P11808-008","P11808-010","P11808-015",1,4,1,1,2,2,12,2,,1,1136.32202148438
"H11809-04-01",1,10,10,3,10,12,14,14,1,20,10,0.600000023841858,5,1,2,1000,"P11809-011","P11809-009","P11809-007",1,4,1,1,1,5,13,2,,1,2272.64404296875
"H11810-04-01",1,10,10,3,10,12,13,14,6,3,2,0.00999999977648258,4,2,,,"P11810-001","P11810-004",,1,4,1,1,1,5,11,1,3,1,2272.64404296875
"H11901-04-01",1,10,10,3,10,12,14,14,6,2,0,0.00999999977648258,5,2,,,"P11901-003","P11901-008","P11901-009",2,4,1,1,1,5,14,2,,1,2272.64404296875
"H11902-04-01",1,11,10,1,10,16,14,14,2,30,8,0.699999988079071,2,1,2,500,"P11902-002","Z03",,2,4,2,1,1,1,13,1,2,1,2272.64404296875
"H11903-04-01",3,10,10,2,10,16,14,14,6,7,2,0.100000001490116,6,1,2,30000,"P11903-006","P11903-004","P11903-007",2,4,1,1,2,5,11,1,3,1,1136.32202148438
"H11903-04-02",3,15,15,2,10,12,13,14,6,20,2,0.5,2,1,2,3000,"Z03","Z03","Z03",1,2,1,1,9,5,12,1,2,1,1136.32202148438
"H11905-04-01",2,10,10,1,10,12,14,15,,15,5,0.5,20,2,,,"P11905-004","P11905-005","P11905-006",1,4,1,1,,5,15,1,2,1,2272.64404296875
"H11907-04-01",1,10,10,1,10,12,14,14,96,25,60,1,20,1,2,3000,"P11907-002",,,1,1,1,1,2,2,13,2,,1,2272.64404296875
"H11908-04-01",1,10,10,3,10,12,13,14,6,8,10,0.100000001490116,10,2,,,"P11908-003","P11908-004","P11908-005",1,4,1,1,1,5,13,1,3,1,2272.64404296875
"H11910-04-01",1,10,10,4,10,12,13,14,6,60,0,1.5,10,1,2,125,"P11910-009","P11910-008","P11910-011",1,1,1,1,2,2,12,2,,1,2272.64404296875
"H12001-04-01",1,16,10,1,15,16,14,14,6,10,60,0.100000001490116,6,2,,,"P12001-002","P12001-003",,1,4,1,1,1,2,13,2,,1,2272.64404296875
"H12003-04-01",1,10,10,3,10,12,14,14,96,30,60,1,20,2,,,"P12003-004","P12003-002",,1,3,1,1,1,1,12,2,,1,1136.32202148438
"H12003-04-02",3,10,10,3,10,12,13,14,6,10,15,1,15,2,,,"P12003-020","P12003-008","P12003-003",1,4,1,1,1,8,13,2,,1,1136.32202148438
"H12005-04-01",1,10,10,3,10,12,13,14,6,7,6,0.300000011920929,5,2,,,"P12005-004","P12005-007","P12005-001",1,4,1,2,1,5,12,2,,1,2272.64404296875
"H12006-04-01",1,15,12,1,10,12,14,14,2,29,5,1.20000004768372,1,1,2,3000,"Z03","Z03","Z04",1,4,1,1,2,2,12,1,2,1,2272.64404296875
"H12007-04-01",1,10,10,3,10,12,14,14,6,20,8,0.800000011920929,10,1,1,3000,"P12007-003","P12007-004","P12007-002",2,3,1,1,1,5,13,2,,1,2272.64404296875
"H12008-04-01",1,10,10,3,10,12,14,14,6,10,10,0.300000011920929,15,1,2,4000,"P12008-007","P12008-009","P12008-021",1,4,1,1,1,3,15,2,,1,1136.32202148438
"H12008-04-02",3,11,15,1,10,12,14,14,2,7,2,0.0500000007450581,2,1,2,1000,"P12008-004","P12008-022",,2,4,1,2,1,2,12,1,2,1,1136.32202148438
"H12009-04-01",1,10,10,2,10,16,14,14,6,20,30,1,5,2,,,"P12009-003","P12009-004",,1,4,1,1,2,1,17,,,,2272.64404296875
"H12010-04-01",2,10,10,1,10,12,14,14,6,10,0,0.699999988079071,4,2,,,"P12010-003","P12010-004","P12010-005",2,4,2,1,9,5,15,2,,1,2272.64404296875
"H12011-04-01",1,10,10,1,10,12,13,14,6,7,10,0.5,10,2,,,"P12011-002","P12011-003","P12011-007",1,4,1,1,2,2,15,1,1,1,2272.64404296875
"H12303-04-01",1,11,10,1,10,15,14,12,6,5,2,0.100000001490116,5,1,1,27000,"P12303-007","P12303-002","P12303-003",2,1,2,1,1,2,13,2,,1,2272.64404296875
"H12306-04-01",2,10,10,3,10,17,13,12,6,5,5,0.100000001490116,10,1,1,21000,"P12306-006","P12306-007","P12306-008",2,4,1,1,1,5,17,,,,2272.64404296875
"H12310-04-01",1,10,10,2,10,16,13,12,96,10,20,0,40,1,1,30000,"P12310-002","P12310-005","P12310-008",2,1,1,1,1,8,12,2,,1,2272.64404296875
"H12311-04-01",1,10,10,2,10,17,14,11,,,,,5,1,1,6000,,,,9,2,2,1,,5,13,1,3,1,2272.64404296875
"H12401-04-01",1,15,12,2,10,16,14,12,96,5,5,0,3,1,1,9000,"P12401-002",,,1,4,1,1,2,2,13,1,2,1,2272.64404296875
"H12402-04-01",1,10,10,3,10,11,13,12,2,4,2,0.00999999977648258,5,1,1,21000,"P12402-001","P12402-003","P12402-005",2,2,2,1,2,3,11,1,1,1,2272.64404296875
"H12404-04-01",1,10,10,3,10,12,13,11,,,,,5,1,1,30000,,,,2,1,2,1,,2,12,2,,1,2272.64404296875
"H12407-04-01",1,15,16,1,10,10,13,11,,,,,3,1,1,3000,,,,1,2,2,1,,5,10,1,4,1,1136.32202148438
"H12407-04-02",2,15,16,1,10,11,13,11,,,,,5,1,1,9000,,,,1,4,2,1,,5,13,1,5,1,1136.32202148438
"H12408-04-01",1,11,10,2,10,11,14,14,1,120,0,20,5,2,,,"P12408-002","P12408-003","P12408-008",1,3,2,1,1,1,11,1,2,1,2272.64404296875
"H12409-04-01",1,10,10,4,10,12,14,11,,,,,5,1,1,25000,,,,1,4,1,1,,5,14,2,,1,2272.64404296875
"H12411-04-01",1,10,10,5,10,10,13,10,,,,,5,1,1,40000,,,,2,1,2,1,,5,10,2,,2,2272.64404296875
"H12501-04-01",1,10,10,3,10,12,14,15,,10,1,0.600000023841858,10,2,,,"P12501-014","P12501-008","P12501-004",9,4,1,1,,5,13,2,,1,2272.64404296875
"H12502-04-01",1,10,10,12,10,12,14,20,,20,5,0.899999976158142,10,2,,,"P12502-008","P12502-009","P12502-007",2,4,1,1,,5,13,2,,1,2272.64404296875
"H12504-04-01",1,10,10,1,10,12,14,14,6,10,60,0,5,2,,,"P12504-002",,,1,4,1,1,1,8,17,,,,2272.64404296875
"H12505-04-01",1,10,10,1,10,12,14,15,,10,2,0.400000005960464,5,2,,,"P12505-002","P12505-001",,1,4,1,1,,5,13,2,,1,2272.64404296875
"H12506-04-01",1,10,10,3,10,12,14,15,,10,10,0.5,10,2,,,"P12506-003","P12506-004","P12506-004",2,4,1,1,,2,13,2,,1,2272.64404296875
"H12507-04-01",1,10,10,1,10,13,14,20,,60,8,3,6,2,,,"P12507-002","P12507-004","P12507-001",2,4,2,1,,2,17,,,,2272.64404296875
"H12509-04-01",1,10,10,4,10,12,14,12,2,60,8,2,20,2,,,"P12509-002","P12509-004","P12509-005",2,4,1,1,1,1,13,1,1,1,2272.64404296875
"H12510-04-01",1,10,10,4,10,16,14,16,6,10,3,0.25,15,2,,,"P12510-004","P12510-002",,1,4,1,1,1,5,13,2,,1,2272.64404296875
"H12512-04-01",1,10,10,3,10,12,14,16,6,10,5,0.25,10,2,,,"P12512-004",,,1,4,1,1,2,5,13,2,,1,2272.64404296875
"H12601-04-01",2,10,10,1,10,12,14,20,,18,5,1.70000004768372,4,2,,,"P12601-007","P12601-008",,2,4,1,1,,2,17,,,,2272.6435546875
"H12603-04-01",1,10,10,2,10,12,14,14,6,5,0,0,5,2,,,"P12603-002","P12603-006",,1,4,1,1,2,5,13,2,,1,2272.6435546875
"H12604-04-01",1,10,10,2,10,16,14,15,,15,0,0.5,5,2,,,"P12604-009",,,1,4,1,1,,5,15,2,,1,2272.6435546875
"H12605-04-01",1,10,10,2,10,12,14,14,6,15,0,0.25,10,2,,,"P12605-002","P12605-005","P12605-008",1,4,1,1,1,5,13,2,,1,2272.6435546875
"H12606-04-01",1,10,10,2,10,16,14,14,2,1,0,0.00100000004749745,2,2,,,"P12606-011","P12606-004","P12606-008",1,2,1,1,1,2,13,1,2,1,1136.32177734375
"H12606-04-02",1,10,10,1,10,16,14,14,2,5,1,0.100000001490116,5,2,,,"P12606-002","P12606-014",,1,4,1,1,2,2,13,1,2,1,1136.32177734375
"H12607-04-01",2,10,10,2,10,16,14,20,,10,1,0.400000005960464,4,2,,,"P12607-002","Z03",,1,4,1,1,,2,13,2,,1,2272.6435546875
"H12609-04-01",1,10,10,1,10,16,14,15,,10,5,0.699999988079071,2,2,,,"P12609-001",,,1,4,2,1,,5,13,1,2,1,2272.6435546875
"H12610-04-01",1,10,10,2,10,16,14,14,2,10,5,0.00999999977648258,3,2,,,"P12610-001","P12610-004",,1,4,2,1,1,5,13,2,,1,1136.32177734375
"H12610-04-02",3,10,10,2,10,12,10,15,,2,5,0.100000001490116,5,2,,,"P12610-003","P12610-009",,1,4,1,1,,5,12,2,,1,1136.32177734375
"H12611-04-01",1,10,10,2,10,12,10,14,6,3,5,0.200000002980232,5,2,,,"P12611-001","P12611-002","P12611-003",1,4,1,1,1,5,15,1,1,1,2272.6435546875
"H12701-04-01",2,11,10,3,10,12,13,14,6,10,10,0.300000011920929,10,1,2,1000,"P12701-001","P12701-001","P12701-005",1,4,1,1,1,2,12,1,3,1,1136.32177734375
"H12701-04-02",2,16,15,1,15,16,14,14,6,10,5,0.5,2,2,,,"P12701-007","P12701-007",,1,4,2,2,9,5,13,1,3,1,1136.32177734375
"H12703-04-01",1,10,12,5,10,11,16,14,2,10,8,0.200000002980232,8,1,2,500,"P12703-002","P12703-003","P12703-004",1,4,1,1,1,2,12,2,,1,2272.6435546875
"H12704-04-01",1,10,10,4,10,12,14,14,96,30,45,1,20,1,2,167,"P12704-006","P12704-008","P12704-007",1,4,1,1,1,2,12,2,,1,2272.6435546875
"H12705-04-01",1,10,10,2,10,12,14,14,96,30,30,1,10,1,2,200,"P12705-004","P12705-002","P12705-008",1,4,1,1,1,8,17,,,,2272.6435546875
"H12706-04-01",1,11,11,2,10,12,14,11,,,,,7,2,,,,,,1,4,1,1,,5,11,1,5,1,2272.6435546875
"H12707-04-01",1,10,10,2,10,12,13,14,6,10,5,0.400000005960464,5,1,2,1000,"P12707-003",,,1,4,1,1,2,2,13,2,,1,2272.6435546875
"H12708-04-01",1,10,10,4,10,12,14,14,2,20,8,0.5,10,1,2,500,"P12708-005","P12708-006","P12708-013",2,4,1,1,1,2,12,1,3,1,2272.6435546875
"H12709-04-01",1,10,10,3,10,12,14,14,6,40,8,1.20000004768372,5,1,2,2000,"P12709-004","P12709-005","P12709-006",1,4,1,1,1,5,13,2,,1,1136.32177734375
