"HHID","ACrop2_ID","parcelID","plotID","cropID","cropID_other","a4bq6_1","a4bq7","a4bq8","a4bq9","a4bq9_1","a4bq9_2","a4bq16","a4bq11a","a4bq11b","a4bq12a","a4bq12b","a4bq13","a4bq14","a4bq10","a4bq15","hh","wgt_X"
172020401,1,1,1,741,,17202002,0.200000002980232,1,,99,12,2,,,,,,,,,"H17202-04-01",2272.64404296875
172020401,2,2,2,630,,17202002,0.125,1,,6,14,2,,,,,,,,,"H17202-04-01",2272.64404296875
172020401,4,3,3,130,,17202002,0.400000005960464,2,60,8,14,1,4,1,5,1,1,,2,,"H17202-04-01",2272.64404296875
172020401,3,3,3,210,,17202002,0.400000005960464,2,40,8,14,1,5,1,9,1,1,,2,,"H17202-04-01",2272.64404296875
172020401,5,3,4,620,,17202002,0.100000001490116,1,,8,14,1,,66,,,1,,2,,"H17202-04-01",2272.64404296875
172030401,1,1,1,620,,17203001,0.25,1,,7,14,1,2,10,,,1,,2,,"H17203-04-01",2272.64404296875
172030401,2,2,2,210,,17203001,0.25,1,,8,14,1,20,1,,,1,,2,,"H17203-04-01",2272.64404296875
172030401,3,3,3,130,,17203001,0.200000002980232,1,,7,14,1,7,1,,,1,,2,,"H17203-04-01",2272.64404296875
172050401,1,1,1,210,,17205001,0.300000011920929,2,40,9,14,1,4,1,6,1,1,,2,,"H17205-04-01",2272.64404296875
172050401,2,1,1,130,,17205001,0.300000011920929,2,60,9,14,1,3,1,5,1,1,,2,,"H17205-04-01",2272.64404296875
172050401,3,2,2,620,,17205001,0.5,1,,8,14,2,,,,,,,,,"H17205-04-01",2272.64404296875
172050401,4,2,3,210,,17205001,0.5,2,40,8,14,1,8,1,15,1,1,,2,,"H17205-04-01",2272.64404296875
172050401,5,2,3,130,,17205001,0.5,2,60,8,14,1,5,1,9,1,1,,2,,"H17205-04-01",2272.64404296875
172070401,1,1,1,210,,17207002,0.5,2,40,8,14,1,7,1,10,1,1,,2,,"H17207-04-01",1136.32202148438
172070401,2,1,1,130,,17207002,0.5,2,60,8,14,1,4,1,8,1,1,,2,,"H17207-04-01",1136.32202148438
172070401,3,1,2,630,,17207002,1,1,,7,14,1,1,12,,,1,,2,,"H17207-04-01",1136.32202148438
172080401,2,1,1,310,,17208002,0.25,2,60,7,14,1,5,1,8,1,1,,2,,"H17208-04-01",2272.64404296875
172080401,1,1,1,130,,17208002,0.25,2,40,7,14,1,3,1,6,1,1,,2,,"H17208-04-01",2272.64404296875
172100401,1,1,1,741,,17210002,0.5,2,70,4,12,2,,,,,,,,,"H17210-04-01",2272.64404296875
172100401,2,1,1,700,,17210002,0.5,2,30,4,12,2,,,,,,,,,"H17210-04-01",2272.64404296875
172100401,3,2,2,210,,17210002,1.5,2,40,8,14,1,15,1,35,1,1,,2,,"H17210-04-01",2272.64404296875
172100401,4,2,2,130,,17210002,1.5,2,60,8,14,1,10,1,10,1,1,,2,,"H17210-04-01",2272.64404296875
172100401,5,2,3,420,,17210002,0.5,1,,9,14,1,50,2,,,1,,1,20000,"H17210-04-01",2272.64404296875
172100401,6,3,4,130,,17210002,0.5,1,,8,14,1,5,1,,,1,,2,,"H17210-04-01",2272.64404296875
172100401,7,3,5,620,,17210002,0.5,1,,9,14,1,7,66,,,1,,2,,"H17210-04-01",2272.64404296875
173020401,1,1,1,890,"pine tree",17302001,1.5,1,,9,9,2,,,,,,,,,"H17302-04-01",2272.64404296875
173020401,2,1,2,741,,17302001,1,2,90,6,5,2,,,,,,,,,"H17302-04-01",2272.64404296875
173020401,3,1,2,630,,17302001,1,2,10,3,14,2,,,,,,,,,"H17302-04-01",2272.64404296875
173020401,4,1,3,130,,17302001,1,1,,8,14,1,10,1,,,1,,2,,"H17302-04-01",2272.64404296875
173080401,1,1,1,630,,17308001,1,2,60,2,14,1,4,10,,,1,,2,,"H17308-04-01",2272.64404296875
173080401,2,1,1,130,,17308001,1,2,40,8,14,1,,,,,,,,,"H17308-04-01",2272.64404296875
173090401,2,1,1,130,,17309002,0.5,2,30,7,14,1,2,1,5,,1,,2,,"H17309-04-01",2272.64404296875
173090401,1,1,1,630,,17309002,0.5,2,70,12,14,2,,,,,,,,,"H17309-04-01",2272.64404296875
173090401,3,2,2,130,,17309002,0.5,1,,8,14,1,5,1,,,1,,2,,"H17309-04-01",2272.64404296875
173100401,1,1,1,811,,17310001,0.899999976158142,1,,12,14,2,,,,,,,,,"H17310-04-01",2272.64404296875
173100401,3,2,2,130,,17310001,2.54999995231628,2,50,10,14,1,15,1,20,1,1,,2,,"H17310-04-01",2272.64404296875
173100401,2,2,2,210,,17310001,2.54999995231628,2,50,10,14,1,20,1,30,1,1,,1,40000,"H17310-04-01",2272.64404296875
174010401,2,1,1,210,,17401002,0.5,2,60,7,14,1,10,1,20,1,1,,2,,"H17401-04-01",1467.73278808594
174010401,1,1,1,741,,17401002,0.5,2,40,99,1,2,,,,,,,,,"H17401-04-01",1467.73278808594
174010401,3,2,2,210,,17401002,1,1,,7,14,1,30,1,,,1,,2,,"H17401-04-01",1467.73278808594
174010401,5,4,3,210,,17401002,0.5,2,30,7,14,1,15,1,30,1,1,,2,,"H17401-04-01",1467.73278808594
174010401,6,4,3,630,,17401002,0.5,2,20,3,14,2,,,,,,,,,"H17401-04-01",1467.73278808594
174010401,4,4,3,741,,17401002,0.5,2,50,99,1,2,,,,,,,,,"H17401-04-01",1467.73278808594
174010401,8,5,4,630,,17401002,1,2,50,3,14,2,,,,,,,,,"H17401-04-01",1467.73278808594
174010401,7,5,4,741,,17401002,1,2,50,99,1,2,,,,,,,,,"H17401-04-01",1467.73278808594
174010402,1,1,1,130,,17401003,2,1,,7,14,1,16,1,,,1,,1,12800,"H17401-04-02",1467.73278808594
174040401,2,1,1,210,,17404002,0.25,2,40,7,14,1,,,,,,,,,"H17404-04-01",2935.46557617188
174040401,1,1,1,741,,17404002,0.25,2,60,4,9,2,,,,,,,,,"H17404-04-01",2935.46557617188
174040401,3,2,2,741,,17404002,0.5,2,30,3,9,2,,,,,,,,,"H17404-04-01",2935.46557617188
174040401,4,2,2,210,,17404002,0.5,2,70,7,14,1,,,,,,,,,"H17404-04-01",2935.46557617188
174060401,1,2,1,210,,17406002,0.5,1,,8,14,1,22,1,,,1,,2,,"H17406-04-01",1467.73278808594
174060401,2,3,2,741,,17406002,0.5,2,40,1,1,2,,,,,,,,,"H17406-04-01",1467.73278808594
174060401,3,3,2,210,,17406002,0.5,2,30,8,14,1,15,1,25,1,1,,2,,"H17406-04-01",1467.73278808594
174060401,4,3,2,630,,17406002,0.5,2,30,4,14,2,,,,,,,,,"H17406-04-01",1467.73278808594
174080401,1,1,1,210,,17408001,0.25,1,,7,14,1,15,1,,,1,,2,,"H17408-04-01",2935.46557617188
174080401,2,2,2,741,,17408001,0.25,1,,1,1,2,,,,,,,,,"H17408-04-01",2935.46557617188
174080401,3,3,3,741,,17408001,0.25,1,,1,1,2,,,,,,,,,"H17408-04-01",2935.46557617188
174080401,4,4,4,630,,17408001,0.25,2,60,2,14,2,,,,,,,,,"H17408-04-01",2935.46557617188
174080401,5,4,4,320,,17408001,0.5,2,40,7,14,1,3,1,6,1,1,,2,,"H17408-04-01",2935.46557617188
174080401,6,4,5,620,,17408001,0.5,1,,3,14,2,,,,,,,,,"H17408-04-01",2935.46557617188
174090401,2,1,1,630,,17409001,0.100000001490116,2,40,3,14,,,,,,,,,,"H17409-04-01",2935.46557617188
174090401,1,1,1,210,,17409001,0.100000001490116,2,60,7,14,1,4,1,6,1,1,,2,,"H17409-04-01",2935.46557617188
174090401,3,1,2,210,,17409001,0.150000005960464,2,60,7,14,1,6,1,10,1,1,,2,,"H17409-04-01",2935.46557617188
174090401,4,1,2,741,,17409001,0.150000005960464,2,40,3,9,2,,,,,,,,,"H17409-04-01",2935.46557617188
174090401,5,2,3,210,,17409001,1,2,60,7,14,1,35,1,40,,1,,2,,"H17409-04-01",2935.46557617188
174090401,6,2,3,130,,17409001,1,2,40,7,14,1,14,1,20,1,2,2,1,21000,"H17409-04-01",2935.46557617188
174100401,1,1,1,741,,17410002,0.25,1,,1,1,2,,,,,,,,,"H17410-04-01",2935.46557617188
174100401,2,2,2,630,,17410002,1,1,,3,14,2,,,,,,,,,"H17410-04-01",2935.46557617188
175020401,2,1,1,811,,17502001,0.5,2,40,6,10,2,,,,,,,,,"H17502-04-01",2935.46557617188
175020401,1,1,1,741,,17502001,0.5,2,60,6,10,2,,,,,,,,,"H17502-04-01",2935.46557617188
175020401,3,2,2,811,,17502001,0.5,1,,99,1,2,,,,,,,,,"H17502-04-01",2935.46557617188
175020401,4,3,3,210,,17502001,0.25,2,80,7,14,1,9,1,9,1,1,,2,,"H17502-04-01",2935.46557617188
175020401,5,3,3,630,,17502001,0.25,2,20,3,14,2,,,,,,,,,"H17502-04-01",2935.46557617188
175020401,6,3,4,630,,17502001,0.25,2,30,3,14,2,,,,,,,,,"H17502-04-01",2935.46557617188
175020401,7,3,4,310,,17502001,0.25,2,70,7,14,1,6,1,6,1,1,,2,,"H17502-04-01",2935.46557617188
175020401,8,4,5,741,,17502001,0.5,1,,99,1,2,,,,,,,,,"H17502-04-01",2935.46557617188
175030401,1,1,1,741,,17503001,0.5,2,50,99,4,2,,,,,,,,,"H17503-04-01",2935.46557617188
175030401,2,1,1,811,,17503001,0.5,2,50,4,2,2,,,,,,,,,"H17503-04-01",2935.46557617188
175030401,4,2,2,811,,17503001,0.5,2,60,99,1,2,,,,,,,,,"H17503-04-01",2935.46557617188
175030401,3,2,2,741,,17503001,0.5,2,40,99,1,2,,,,,,,,,"H17503-04-01",2935.46557617188
175030401,6,3,3,811,,17503001,0.25,2,25,4,1,2,,,,,,,,,"H17503-04-01",2935.46557617188
175030401,5,3,3,741,,17503001,0.5,2,25,4,1,2,,,,,,,,,"H17503-04-01",2935.46557617188
175030401,7,5,4,210,,17503001,0.25,1,,7,14,1,10,1,,,1,,2,,"H17503-04-01",2935.46557617188
175030401,8,6,5,210,,17503001,0.25,2,80,7,14,1,6,1,7,,1,,2,,"H17503-04-01",2935.46557617188
175030401,9,6,5,630,,17503001,0.25,2,20,7,14,2,,,,,,,,,"H17503-04-01",2935.46557617188
175040402,2,1,1,811,,17504001,0.5,2,50,4,11,2,,,,,,,,,"H17504-04-02",2935.46557617188
175040402,1,1,1,741,,17504001,0.5,2,50,4,11,2,,,,,,,,,"H17504-04-02",2935.46557617188
175040402,3,3,2,210,,17504001,0.5,1,,7,14,1,10,1,,,1,,2,,"H17504-04-02",2935.46557617188
175060401,1,1,1,741,,17506009,0.25,1,,1,1,2,,,,,,,,,"H17506-04-01",2935.46557617188
175060401,2,2,2,741,,17506009,0.5,1,,1,1,2,,,,,,,,,"H17506-04-01",2935.46557617188
175060401,3,3,3,210,,17506009,0.5,1,,7,14,1,10,1,,,1,,1,15000,"H17506-04-01",2935.46557617188
175060401,4,4,4,210,,17506009,0.5,1,,7,14,1,13,1,,,1,,1,19500,"H17506-04-01",2935.46557617188
175060401,6,5,5,811,,17506009,1,2,40,1,1,2,,,,,,,,,"H17506-04-01",2935.46557617188
175060401,5,5,5,741,,17506009,1,2,60,1,1,2,,,,,,,,,"H17506-04-01",2935.46557617188
175070401,2,1,1,811,,17507001,0.25,2,60,1,1,2,,,,,,,,,"H17507-04-01",2935.46557617188
175070401,1,1,1,741,,17507001,0.25,2,40,1,1,2,,,,,,,,,"H17507-04-01",2935.46557617188
175070401,3,2,2,210,,17507001,0.25,1,,7,14,1,6,1,,,1,,2,,"H17507-04-01",2935.46557617188
175070401,4,3,3,210,,17507001,0.5,1,,7,14,1,10,1,,,1,,2,,"H17507-04-01",2935.46557617188
175070401,5,4,4,210,,17507001,0.25,1,,7,14,1,8,1,,,1,,2,,"H17507-04-01",2935.46557617188
175090401,1,1,1,741,,17509001,0.699999988079071,2,20,8,13,2,,,,,,,,,"H17509-04-01",2935.46557617188
175090401,2,1,1,811,,17509001,0.699999988079071,2,80,4,3,2,,,,,,,,,"H17509-04-01",2935.46557617188
175090401,3,2,2,210,,17509001,1,1,,7,14,1,20,1,,,2,2,1,25000,"H17509-04-01",2935.46557617188
175110401,3,1,1,811,,17511002,0.200000002980232,2,25,4,3,2,,,,,,,,,"H17511-04-01",978.488586425781
175110401,2,1,1,210,,17511002,0.200000002980232,2,50,7,14,1,5,1,10,1,1,,2,,"H17511-04-01",978.488586425781
175110401,1,1,1,741,,17511002,0.200000002980232,2,25,8,9,2,,,,,,,,,"H17511-04-01",978.488586425781
175110401,4,2,2,630,,17511002,0.25,1,,8,14,2,,,,,,,,,"H17511-04-01",978.488586425781
175110401,5,3,3,210,,17511002,0.25,1,,7,14,1,15,1,,,1,,2,,"H17511-04-01",978.488586425781
175110402,1,1,1,741,,17511003,0.150000005960464,2,50,1,1,2,,,,,,,,,"H17511-04-02",978.488586425781
175110402,2,1,1,210,,17511003,0.150000005960464,2,50,7,14,1,3,1,4,1,1,,2,,"H17511-04-02",978.488586425781
175110402,3,1,2,744,,17511003,0.100000001490116,2,50,1,1,2,,,,,,,,,"H17511-04-02",978.488586425781
175110402,4,1,2,210,,17511003,0.100000001490116,2,50,7,14,1,3,1,4,1,1,,2,,"H17511-04-02",978.488586425781
175110402,5,2,3,210,,17511003,0.25,1,,7,14,1,6,1,,,1,,2,,"H17511-04-02",978.488586425781
175110403,2,1,1,210,,17511017,0.400000005960464,2,60,7,14,1,2,1,5,1,1,,2,,"H17511-04-03",978.488586425781
175110403,1,1,1,741,,17511017,0.400000005960464,2,40,4,14,2,,,,,,,,,"H17511-04-03",978.488586425781
175110403,3,2,2,741,,17511017,0.25,2,40,4,14,2,,,,,,,,,"H17511-04-03",978.488586425781
175110403,4,2,2,630,,17511017,0.25,2,60,5,14,2,,,,,,,,,"H17511-04-03",978.488586425781
175110403,5,3,3,210,,17511017,0.5,1,,7,14,1,5,1,,,1,,2,,"H17511-04-03",978.488586425781
176010401,1,1,1,741,,17601001,1.5,1,,99,1,2,,,,,,,,,"H17601-04-01",2935.46557617188
176010401,3,2,2,741,,17601001,1.5,2,65,99,1,2,,,,,,,,,"H17601-04-01",2935.46557617188
176010401,2,2,2,811,,17601001,1.5,2,35,99,1,2,,,,,,,,,"H17601-04-01",2935.46557617188
176010401,4,2,2,210,,17601001,1.5,2,35,7,14,1,18,1,35,1,1,,1,36000,"H17601-04-01",2935.46557617188
176010401,6,3,3,210,,17601001,0.5,2,40,7,14,1,20,1,40,1,1,,1,40000,"H17601-04-01",2935.46557617188
176010401,5,3,3,741,,17601001,0.5,2,60,4,1,2,,,,,,,,,"H17601-04-01",2935.46557617188
176020401,1,1,1,410,,17602001,0.25,1,,8,14,2,,,,,,,,,"H17602-04-01",2935.46557617188
176020401,2,2,2,741,,17602001,0.25,1,,4,12,2,,,,,,,,,"H17602-04-01",2935.46557617188
176020401,3,3,3,741,,17602001,0.300000011920929,2,80,4,9,2,,,,,,,,,"H17602-04-01",2935.46557617188
176020401,4,3,3,650,,17602001,0.300000011920929,2,20,3,2,2,,,,,,,,,"H17602-04-01",2935.46557617188
176020401,5,4,4,210,,17602001,0.25,1,,7,14,1,6,1,,,1,,2,,"H17602-04-01",2935.46557617188
176040401,1,1,1,741,,17604001,0.200000002980232,2,20,99,1,2,,,,,,,,,"H17604-04-01",2935.46557617188
176040401,2,1,1,811,,17604001,0.200000002980232,2,80,99,1,2,,,,,,,,,"H17604-04-01",2935.46557617188
176040401,3,2,2,210,,17604001,0.5,1,,7,14,1,5,1,,,1,,2,,"H17604-04-01",2935.46557617188
176040401,4,3,3,210,,17604001,0.5,1,,7,14,1,3,1,,,1,,2,,"H17604-04-01",2935.46557617188
176050401,2,1,1,210,,17605001,0.5,2,20,7,14,1,4,1,15,1,1,,2,,"H17605-04-01",2935.46557617188
176050401,1,1,1,741,,17605001,0.5,2,60,1,1,2,,,,,,,,,"H17605-04-01",2935.46557617188
176050401,3,1,1,811,,17605001,0.5,2,20,1,1,2,,,,,,,,,"H17605-04-01",2935.46557617188
176050401,4,2,2,741,,17605001,0.25,2,70,1,1,2,,,,,,,,,"H17605-04-01",2935.46557617188
176050401,5,2,2,811,,17605001,0.25,2,30,1,1,2,,,,,,,,,"H17605-04-01",2935.46557617188
176050401,6,3,3,741,,17605001,0.25,2,40,1,1,2,,,,,,,,,"H17605-04-01",2935.46557617188
176050401,7,3,3,811,,17605001,0.25,2,609,1,1,2,,,,,,,,,"H17605-04-01",2935.46557617188
176050401,8,4,4,741,,17605001,0.25,1,,1,1,,,,,,,,,,"H17605-04-01",2935.46557617188
176060401,1,1,1,741,,17606001,1,2,50,1,1,,,,,,,,,,"H17606-04-01",2935.46557617188
176060401,2,1,1,811,,17606001,1,2,50,1,1,,,,,,,,,,"H17606-04-01",2935.46557617188
176060401,3,2,2,741,,17606001,0.5,2,50,1,13,,,,,,,,,,"H17606-04-01",2935.46557617188
176060401,4,2,2,420,,17606001,0.5,2,50,7,14,1,50,2,,,2,1,2,,"H17606-04-01",2935.46557617188
176060401,6,3,3,630,,17606001,0.5,2,70,3,14,,,,,,,,,,"H17606-04-01",2935.46557617188
176060401,5,3,3,741,,17606001,0.5,2,30,1,13,,,,,,,,,,"H17606-04-01",2935.46557617188
176060401,7,4,4,210,,17606001,0.5,1,,7,14,1,7,1,,,1,,2,,"H17606-04-01",2935.46557617188
176060401,8,4,5,320,,17606001,0.5,1,,7,14,1,1,1,,,1,,1,1500,"H17606-04-01",2935.46557617188
176080401,3,1,1,811,,17608001,0.5,2,50,4,1,2,,,,,,,,,"H17608-04-01",1467.73278808594
176080401,2,1,1,210,,17608001,0.5,2,20,7,14,1,3,1,15,1,1,,2,,"H17608-04-01",1467.73278808594
176080401,1,1,1,741,,17608001,0.5,2,30,4,1,2,,,,,,,,,"H17608-04-01",1467.73278808594
176080402,1,1,1,210,,17608006,0.5,1,,7,14,1,15,11,,,1,,2,,"H17608-04-02",1467.73278808594
176080402,2,2,2,510,,17608006,0.125,1,,3,14,2,,,,,,,,,"H17608-04-02",1467.73278808594
176080402,3,2,3,630,,17608006,0.349999994039536,1,,3,14,2,,,,,,,,,"H17608-04-02",1467.73278808594
176090401,2,1,1,470,,17609001,0.25,2,25,12,14,1,250,2,320,2,1,,1,5000,"H17609-04-01",2935.46557617188
176090401,3,1,1,811,,17609001,0.25,2,25,1,1,2,,,,,,,,,"H17609-04-01",2935.46557617188
176090401,1,1,1,741,,17609002,0.25,2,50,1,1,2,,,,,,,,,"H17609-04-01",2935.46557617188
176090401,4,2,2,410,,17609001,0.25,1,,11,14,1,250,2,,,2,1,1,15000,"H17609-04-01",2935.46557617188
176090401,5,2,3,420,,17609001,0.25,1,,11,14,1,250,2,,,2,2,1,25000,"H17609-04-01",2935.46557617188
176090401,7,3,4,630,,17609001,0.5,2,20,1,1,2,,,,,,,,,"H17609-04-01",2935.46557617188
176090401,6,3,4,741,,17609001,0.5,2,40,1,1,2,,,,,,,,,"H17609-04-01",2935.46557617188
176090401,8,3,4,420,,17609001,0.5,2,40,8,14,1,100,2,250,2,2,1,2,,"H17609-04-01",2935.46557617188
176100401,2,1,1,811,,17610001,0.25,2,10,4,11,2,,,,,,,,,"H17610-04-01",2935.46557617188
176100401,1,1,1,741,,17610001,0.25,2,60,3,13,2,,,,,,,,,"H17610-04-01",2935.46557617188
176100401,3,2,2,741,,17610001,0.5,2,50,4,1,2,,,,,,,,,"H17610-04-01",2935.46557617188
176100401,5,2,2,811,,17610001,0.5,2,30,4,2,2,,,,,,,,,"H17610-04-01",2935.46557617188
176100401,4,2,2,210,,17610001,0.5,2,,7,14,1,20,1,40,,1,,2,,"H17610-04-01",2935.46557617188
177010401,2,1,1,210,,17701001,0.5,2,30,7,14,1,4,1,6,1,1,,2,,"H17701-04-01",2935.46557617188
177010401,1,1,1,741,,17701001,0.5,2,40,6,1,2,,,,,,,,,"H17701-04-01",2935.46557617188
177010401,3,1,1,811,,17701001,0.5,2,30,4,1,2,,,,,,,,,"H17701-04-01",2935.46557617188
177030401,3,1,1,811,,17703001,0.5,2,60,6,1,2,,,,,,,,,"H17703-04-01",2935.46557617188
177030401,2,1,1,210,,17703001,0.5,2,20,7,14,1,1,1,4,,1,,2,,"H17703-04-01",2935.46557617188
177030401,1,1,1,741,,17703001,0.5,2,20,8,1,2,,,,,,,,,"H17703-04-01",2935.46557617188
177030401,5,2,2,210,,17703001,1,2,30,7,14,1,4,1,8,1,1,,2,,"H17703-04-01",2935.46557617188
177030401,4,2,2,741,,17703001,1,2,70,8,1,2,,,,,,,,,"H17703-04-01",2935.46557617188
177030401,6,3,3,811,,17703001,0.200000002980232,1,,6,1,2,,,,,,,,,"H17703-04-01",2935.46557617188
177040401,1,1,1,811,,17704001,0.25,1,,4,1,2,,,,,,,,,"H17704-04-01",2935.46557617188
177040401,3,2,2,210,,17704001,1,2,33,7,14,1,4,1,5,1,1,,2,,"H17704-04-01",2935.46557617188
177040401,2,2,2,741,,17704001,1,2,33,4,1,2,,,,,,,,,"H17704-04-01",2935.46557617188
177040401,4,2,2,640,,17704001,1,2,34,6,1,2,,,,,,,,,"H17704-04-01",2935.46557617188
177070402,3,1,1,811,,17707001,0.25,2,30,1,1,,,,,,,,,,"H17707-04-02",978.488586425781
177070402,2,1,1,210,,17707001,0.25,2,40,7,14,1,,,,,,,,,"H17707-04-02",978.488586425781
177070402,1,1,1,741,,17707001,0.25,2,30,1,1,2,,,,,,,,,"H17707-04-02",978.488586425781
177070403,3,1,1,811,,17707007,0.5,2,20,1,1,2,,,,,,,,,"H17707-04-03",978.488586425781
177070403,1,1,1,741,,17707007,0.5,2,30,1,1,2,,,,,,,,,"H17707-04-03",978.488586425781
177070403,2,1,1,210,,17707007,0.5,2,20,7,14,1,5,1,15,,1,,2,,"H17707-04-03",978.488586425781
177070403,5,2,2,811,,17707007,0.25,2,30,1,1,2,,,,,,,,,"H17707-04-03",978.488586425781
177070403,4,2,2,741,,17707007,0.25,2,40,1,1,2,,,,,,,,,"H17707-04-03",978.488586425781
177070403,6,2,2,630,,17707007,0.25,2,20,4,14,2,,,,,,,,,"H17707-04-03",978.488586425781
177070404,1,1,1,130,,17707005,0.699999988079071,1,,9,14,1,9,1,,,1,,2,,"H17707-04-04",978.488586425781
177070404,2,1,2,812,,17707005,0.300000011920929,1,,2,1,2,,,,,,,,,"H17707-04-04",978.488586425781
177080401,2,1,1,811,,17708001,0.25,2,70,4,1,2,,,,,,,,,"H17708-04-01",1467.73278808594
177080401,1,1,1,741,,17708001,0.25,2,30,3,1,2,,,,,,,,,"H17708-04-01",1467.73278808594
177080401,9,2,3,130,,17708002,0.300000011920929,2,30,8,14,1,3,1,5,1,1,,2,,"H17708-04-01",1467.73278808594
177080401,8,2,3,630,,17708001,0.300000011920929,2,50,3,14,2,,,,,,,,,"H17708-04-01",1467.73278808594
177080401,7,2,3,210,,17708001,0.300000011920929,2,20,7,14,1,15,1,15,,1,,2,,"H17708-04-01",1467.73278808594
177080401,4,3,2,811,,17708001,1,2,10,99,1,2,,,,,,,,,"H17708-04-01",1467.73278808594
177080401,3,3,2,741,,17708001,1,2,10,99,1,2,,,,,,,,,"H17708-04-01",1467.73278808594
177080401,5,3,2,210,,17708001,1,2,50,8,14,1,27,1,50,1,1,,2,,"H17708-04-01",1467.73278808594
177080401,6,3,2,640,,17708001,1,2,25,99,1,2,,,,,,,,,"H17708-04-01",1467.73278808594
177080402,1,1,1,210,,17708005,0.5,1,,8,14,1,15,1,,,1,,1,15000,"H17708-04-02",1467.73278808594
177090401,2,1,1,630,,17709002,0.25,2,25,5,13,2,,,,,,,,,"H17709-04-01",2935.46557617188
177090401,1,1,1,210,,17709002,0.25,2,75,7,14,1,5,1,18,1,1,,2,,"H17709-04-01",2935.46557617188
177090401,4,2,2,811,,17709002,0.5,2,50,1,1,2,,,,,,,,,"H17709-04-01",2935.46557617188
177090401,3,2,2,741,,17709002,0.5,2,50,1,1,2,,,,,,,,,"H17709-04-01",2935.46557617188
177090401,5,3,3,440,,17709002,0.5,1,,6,14,2,,,,,,,,,"H17709-04-01",2935.46557617188
177090401,7,4,4,811,,17709002,1,2,60,1,11,2,,,,,,,,,"H17709-04-01",2935.46557617188
177090401,6,4,4,741,,17709002,1,2,40,1,11,2,,,,,,,,,"H17709-04-01",2935.46557617188
177100401,2,1,1,811,,17710002,0.400000005960464,2,40,4,1,2,,,,,,,,,"H17710-04-01",2935.46557617188
177100401,1,1,1,741,,17710002,0.400000005960464,2,60,4,1,2,,,,,,,,,"H17710-04-01",2935.46557617188
177100401,3,2,2,741,,17710002,0.800000011920929,2,30,7,1,2,,,,,,,,,"H17710-04-01",2935.46557617188
177100401,4,2,2,210,,17710002,0.800000011920929,2,30,8,14,1,3,1,8,1,1,,2,,"H17710-04-01",2935.46557617188
177100401,5,2,2,811,,17710002,0.800000011920929,2,40,8,1,2,,,,,,,,,"H17710-04-01",2935.46557617188
177100401,7,3,3,210,,17710002,0.5,2,30,8,14,1,2.5,1,6,1,1,,2,,"H17710-04-01",2935.46557617188
177100401,6,3,3,741,,17710002,0.5,2,30,7,1,2,,,,,,,,,"H17710-04-01",2935.46557617188
177100401,8,3,3,811,,17710002,0.5,2,40,5,1,2,,,,,,,,,"H17710-04-01",2935.46557617188
180100401,1,1,1,630,,18010003,1,1,,3,14,2,,,,,,,,,"H18010-04-01",2204.83032226563
180100401,2,2,2,890,"Trees",18010003,2,1,,3,10,2,,,,,,,,,"H18010-04-01",2204.83032226563
180100401,3,2,3,340,,18010003,1.5,1,,7,14,1,7,1,,,1,,2,,"H18010-04-01",2204.83032226563
180100401,4,4,4,630,,18010003,1,1,,3,13,2,,,,,,,,,"H18010-04-01",2204.83032226563
180110401,1,1,1,630,,18011003,1,1,,3,14,2,,,,,,,,,"H18011-04-01",2204.83032226563
180110401,2,1,2,340,,18011003,0.349999994039536,1,,7,14,1,5,1,,,1,,1,27000,"H18011-04-01",2204.83032226563
181030401,1,1,1,340,,18103001,1,1,,8,14,1,5,1,,,1,,1,22500,"H18103-04-01",734.943481445313
181030402,1,1,1,130,,18103014,0.5,1,,7,14,1,12,1,,,2,2,1,20000,"H18103-04-02",734.943481445313
181030402,2,3,2,340,,18103014,0.5,1,,8,14,1,5,1,,,1,,2,,"H18103-04-02",734.943481445313
181030402,3,4,3,330,,18103014,1.5,1,,8,14,1,2,1,,,1,,1,30000,"H18103-04-02",734.943481445313
181040401,1,1,1,150,,18104002,1,1,,7,14,1,10,1,,,2,2,2,,"H18104-04-01",551.207580566406
181040401,2,1,2,210,,18104002,0.5,1,,6,14,1,10,1,,,2,1,2,,"H18104-04-01",551.207580566406
181040401,3,2,3,630,,18104002,0.449999988079071,1,,3,13,2,,,,,,,,,"H18104-04-01",551.207580566406
181040401,4,3,4,630,,18104002,0.649999976158142,1,,3,13,1,2,12,,,1,,2,,"H18104-04-01",551.207580566406
181040401,5,3,5,340,,18104002,0.449999988079071,1,,5,14,1,2,1,,,1,,2,,"H18104-04-01",551.207580566406
181040402,1,1,1,630,,18104007,0.75,1,,4,14,2,,,,,,,,,"H18104-04-02",551.207580566406
181040402,2,1,2,330,,18104007,0.75,1,,6,14,1,2,1,,,2,1,1,33000,"H18104-04-02",551.207580566406
181040402,3,2,3,630,,18104007,0.5,1,,3,14,2,,,,,,,,,"H18104-04-02",551.207580566406
181040403,1,1,1,210,,18104010,0.5,1,,7,14,1,8,1,,,1,,1,12800,"H18104-04-03",551.207580566406
181040403,2,1,2,620,,18104010,0.25,1,,6,13,1,1,12,,,1,,2,,"H18104-04-03",551.207580566406
181040403,3,2,3,630,,18104010,1,1,,3,14,2,,,,,,,,,"H18104-04-03",551.207580566406
181040404,1,2,1,330,,18104005,2.5,1,,9,14,1,1,22,,,2,1,1,22500,"H18104-04-04",551.207580566406
