"HHID","PID","h5q2","h5q3","h5q4","h5q5","h5q6","h5q7a","h5q7b","h5q8","h5q9","h5q10","h5q11","h5q12","wgt_X"
"H07208-04-02","P07208-011",2,"P07208-002",2,,,,,,,,,,1275.85070800781
"H07208-04-02","P07208-015",2,"P07208-002",2,,,,,,,,,,1275.85070800781
"H07209-04-01","P07209-001",1,,1,14,7,8,96,1,,2,4,0,2551.70141601563
"H07209-04-01","P07209-002",1,,2,,,,,,,,,,2551.70141601563
"H07210-04-01","P07210-001",2,"P07210-002",1,7,4,1,8,1,,7,0.4,5000,2551.70141601563
"H07210-04-01","P07210-002",1,,2,,,,,,,,,,2551.70141601563
"H07210-04-01","P07210-006",2,"P07210-002",2,,,,,,,,,,2551.70141601563
"H07210-04-01","P07210-007",2,"P07210-002",2,,,,,,,,,,2551.70141601563
"H07210-04-01","P07210-008",2,"P07210-002",2,,,,,,,,,,2551.70141601563
"H07210-04-01","P07210-009",2,"P07210-002",2,,,,,,,,,,2551.70141601563
"H07210-04-01","P07210-011",2,"P07210-002",2,,,,,,,,,,2551.70141601563
"H07210-04-01","P07210-015",2,"P07210-002",2,,,,,,,,,,2551.70141601563
"H07210-04-01","P07210-017",2,"P07210-002",2,,,,,,,,,,2551.70141601563
"H07302-04-01","P07302-001",2,"P07302-002",1,21,21,96,,1,,2,1.6,0,2551.701171875
"H07302-04-01","P07302-002",1,,1,20,3,96,8,1,,7,5,25000,2551.701171875
"H07302-04-01","P07302-003",2,"P07302-002",2,,,,,,,,,,2551.701171875
"H07302-04-01","P07302-004",2,"P07302-002",1,7,1,5,8,1,,7,0,20000,2551.701171875
"H07303-04-01","P07303-001",2,"P07303-002",1,7,6,11,13,1,,2,2,0,2551.701171875
"H07303-04-01","P07303-002",1,,1,7,4,12,11,1,,2,2,0,2551.701171875
"H07303-04-01","P07303-003",2,"P07303-002",2,,,,,,,,,,2551.701171875
"H07303-04-01","P07303-004",2,"P07303-002",1,4,4,13,8,1,,2,2,0,2551.701171875
"H07303-04-01","P07303-005",2,"P07303-002",1,5,3,11,8,1,,2,2,0,2551.701171875
"H07303-04-01","P07303-006",2,"P07303-002",1,7,5,12,11,1,,2,2,0,2551.701171875
"H07303-04-01","P07303-007",2,"P07303-002",1,4,3,11,8,1,,2,2,0,2551.701171875
"H07303-04-01","P07303-008",2,"P07303-002",1,3,3,13,11,1,,2,2,0,2551.701171875
"H07303-04-01","P07303-009",2,"P07303-002",1,7,7,4,12,1,,2,8,84000,2551.701171875
"H07303-04-01","P07303-010",2,"P07303-002",1,30,26,13,5,1,,2,8,112000,2551.701171875
"H07304-04-01","P07304-001",1,,2,,,,,,,,,,1275.8505859375
"H07304-04-01","P07304-002",2,"P07304-003",1,7,3,8,9,1,,2,4,0,1275.8505859375
"H07304-04-01","P07304-003",2,"P07304-001",2,,,,,,,,,,1275.8505859375
"H07304-04-02","P07304-005",1,,1,7,0,8,40,2,1,,,,1275.8505859375
"H07305-04-01","P07305-001",1,,1,20,10,8,4,1,,2,4,40000,2551.701171875
"H07306-04-01","P07306-001",1,,1,14,6,19,40,2,5,,,,2551.701171875
"H07306-04-01","P07306-002",2,"P07306-001",2,,,,,,,,,,2551.701171875
"H07306-04-01","P07306-008",2,"P07306-001",2,,,,,,,,,,2551.701171875
"H07307-04-01","P07307-001",1,,1,5,3,5,96,1,,2,0.8,0,2551.701171875
"H07307-04-01","P07307-005",2,"P07307-001",1,3,3,5,12,1,,2,0.8,0,2551.701171875
"H07307-04-01","P07307-006",2,"P07307-001",1,7,5,5,2,1,,2,0.8,0,2551.701171875
"H07307-04-01","P07307-008",2,"P07307-001",1,3,2,13,5,1,,2,0.8,0,2551.701171875
"H07307-04-01","P07307-009",2,"P07307-001",1,3,1,5,8,2,96,,,,2551.701171875
"H07307-04-01","P07307-010",2,"P07307-001",2,,,,,,,,,,2551.701171875
"H07309-04-01","P07309-001",2,"P07309-002",1,14,7,6,8,1,,7,2,20000,2551.701171875
"H07309-04-01","P07309-002",1,,1,21,7,9,11,1,,13,0,90000,2551.701171875
"H07309-04-01","P07309-003",2,"P07309-002",2,,,,,,,,,,2551.701171875
"H07309-04-01","P07309-005",2,"P07309-002",2,,,,,,,,,,2551.701171875
"H07309-04-01","P07309-006",2,"P07309-002",2,,,,,,,,,,2551.701171875
"H07310-04-01","P07310-001",2,"P07310-004",1,14,5,13,96,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-002",2,"P07310-004",1,6,5,5,8,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-004",1,,1,7,3,13,96,1,,7,0,1000,2551.701171875
"H07310-04-01","P07310-005",2,"P07310-004",1,10,4,5,13,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-006",2,"P07310-004",1,5,3,5,8,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-008",2,"P07310-004",1,7,4,5,13,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-009",2,"P07310-004",1,7,5,4,9,1,,2,25,0,2551.701171875
"H07310-04-01","P07310-010",2,"P07310-004",1,6,2,5,9,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-014",2,"P07310-004",1,7,5,4,9,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-016",2,"P07310-004",1,10,5,5,19,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-017",2,"P07310-004",1,6,4,5,8,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-024",2,"P07310-004",1,7,5,4,8,1,,7,0,1000,2551.701171875
"H07310-04-01","P07310-025",2,"P07310-004",2,,,,,,,,,,2551.701171875
"H07310-04-01","P07310-026",2,"P07310-004",1,7,3,5,96,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-027",2,"P07310-004",1,6,2,96,5,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-028",2,"P07310-004",1,7,3,5,12,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-030",2,"P07310-004",1,5,2,5,9,1,,7,0,1000,2551.701171875
"H07310-04-01","P07310-031",2,"P07310-004",1,3,1,5,8,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-032",2,"P07310-005",1,10,3,96,2,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-033",2,"P07310-004",1,10,6,96,,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-034",2,"P07310-004",1,7,3,5,8,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-035",2,"P07310-004",1,5,2,5,8,1,,7,0,3000,2551.701171875
"H07310-04-01","P07310-036",2,"P07310-004",1,7,4,5,12,1,,2,0.25,0,2551.701171875
"H07310-04-01","P07310-037",2,"P07310-004",1,10,6,8,5,1,,1,0.25,0,2551.701171875
"H07311-04-01","P07311-001",1,,1,3,0,5,8,1,,2,3,4000,2551.701171875
"H07311-04-01","P07311-002",2,"P07311-001",1,4,4,5,6,1,,2,3,0,2551.701171875
"H07403-04-01","P07403-001",1,,2,,,,,,,,,,2551.70141601563
"H07403-04-01","P07403-012",2,"P07403-001",2,,,,,,,,,,2551.70141601563
"H07404-04-01","P07404-001",1,,2,,,,,,,,,,2551.70141601563
"H07404-04-01","P07404-002",2,"P07404-001",2,,,,,,,,,,2551.70141601563
"H07404-04-01","P07404-005",2,"P07404-001",2,,,,,,,,,,2551.70141601563
"H07404-04-01","P07404-006",2,"P07404-001",2,,,,,,,,,,2551.70141601563
"H07406-04-01","P07406-002",1,,1,14,12,5,8,1,,7,30,190000,2551.70141601563
"H07406-04-01","P07406-004",2,"P07406-002",2,,,,,,,,,,2551.70141601563
"H07406-04-01","P07406-005",2,"P07406-002",1,10,3,5,96,1,,7,0,90000,2551.70141601563
"H07406-04-01","P07406-011",2,"P07406-002",2,,,,,,,,,,2551.70141601563
"H07408-04-01","P07408-001",2,"P07408-002",2,,,,,,,,,,850.567138671875
"H07408-04-01","P07408-002",1,,1,3,0,96,40,1,,2,10,0,850.567138671875
"H07408-04-01","P07408-007",2,"P07408-002",1,4,0,96,40,1,,7,0,3500,850.567138671875
"H07408-04-01","P07408-008",2,"P07408-002",1,7,0,13,40,1,,2,10,0,850.567138671875
"H07408-04-01","P07408-010",2,"P07408-002",1,7,2,5,40,1,,2,10,0,850.567138671875
"H07408-04-01","P07408-021",2,"P07408-002",2,,,,,,,,,,850.567138671875
"H07408-04-02","P07408-011",1,,1,7,4,5,8,1,,7,1.6,18000,850.567138671875
"H07408-04-02","P07408-012",2,"P07408-011",1,7,3,5,8,1,,7,1.6,8000,850.567138671875
"H07408-04-02","P07408-013",2,"P07408-011",2,,,,,,,,,,850.567138671875
"H07408-04-02","P07408-014",2,"P07408-011",1,21,10,96,8,1,,1,6.4,14000,850.567138671875
"H07408-04-03","P07408-004",2,"P07408-015",1,12,10,96,8,1,,1,6.4,0,850.567138671875
"H07408-04-03","P07408-015",1,,1,15,12,96,8,1,,1,6.4,0,850.567138671875
"H07408-04-03","P07408-016",2,"P07408-015",2,,,,,,,,,,850.567138671875
"H07408-04-03","P07408-017",2,"P07408-015",2,,,,,,,,,,850.567138671875
"H07408-04-03","P07408-018",2,"P07408-015",2,,,,,,,,,,850.567138671875
"H07408-04-03","P07408-019",2,"P07408-015",2,,,,,,,,,,850.567138671875
"H07408-04-03","P07408-020",2,"P07408-015",1,12,10,96,8,1,,1,6.4,0,850.567138671875
"H07410-04-01","P07410-001",1,,2,,,,,,,,,,2551.70141601563
"H07410-04-01","P07410-002",1,,1,7,7,9,96,2,1,,,,2551.70141601563
"H07410-04-01","P07410-003",2,"P07410-001",1,7,7,9,,1,,7,1,5000,2551.70141601563
"H07410-04-01","P07410-004",2,"P07410-002",1,20,18,19,8,1,,2,6,30000,2551.70141601563
"H07410-04-01","P07410-005",2,"P07410-001",1,7,7,1,8,1,,96,0,0,2551.70141601563
"H07410-04-01","P07410-006",2,"P07410-002",1,3,3,12,8,1,,7,0,0,2551.70141601563
"H07410-04-01","P07410-007",2,"P07410-002",1,5,3,9,,1,,7,0,0,2551.70141601563
"H07410-04-01","P07410-008",2,"P07410-002",1,3,3,9,12,1,,7,0,0,2551.70141601563
"H07412-04-01","P07412-001",1,,2,,,,,,,,,,2551.70141601563
"H07412-04-01","P07412-003",2,"P07412-001",2,,,,,,,,,,2551.70141601563
"H07412-04-01","P07412-004",1,,2,,,,,,,,,,2551.70141601563
"H07412-04-01","P07412-005",2,"P07412-004",1,14,10,1,4,1,,6,0.1,20000,2551.70141601563
"H07413-04-01","P07413-001",2,"P07413-006",2,,,,,,,,,,2551.70141601563
"H07413-04-01","P07413-003",2,"P07413-006",2,,,,,,,,,,2551.70141601563
"H07413-04-01","P07413-004",2,"P07413-006",2,,,,,,,,,,2551.70141601563
"H07413-04-01","P07413-006",1,,2,,,,,,,,,,2551.70141601563
"H07413-04-01","P07413-007",2,"P07413-006",2,,,,,,,,,,2551.70141601563
"H07413-04-01","P07413-008",2,"P07413-006",2,,,,,,,,,,2551.70141601563
"H07501-04-01","P07501-001",2,"P07501-002",2,,,,,,,,,,2551.70141601563
"H07501-04-01","P07501-002",1,,1,2,2,13,11,1,,2,12,0,2551.70141601563
"H07501-04-01","P07501-003",2,"P07501-002",2,,,,,,,,,,2551.70141601563
"H07501-04-01","P07501-005",2,"P07501-002",1,4,3,13,11,1,,2,12,0,2551.70141601563
"H07501-04-01","P07501-006",2,"P07501-002",2,,,,,,,,,,2551.70141601563
"H07501-04-01","P07501-007",2,"P07501-002",1,3,2,13,10,1,,2,12,0,2551.70141601563
"H07502-04-01","P07502-001",2,"P07502-002",2,,,,,,,,,,425.283569335938
"H07502-04-01","P07502-002",1,,2,,,,,,,,,,425.283569335938
"H07502-04-01","P07502-006",2,"P07502-002",1,4,3,9,11,1,,6,1,2000,425.283569335938
"H07502-04-01","P07502-007",2,"P07502-002",2,,,,,,,,,,425.283569335938
"H07502-04-01","P07502-008",2,"P07502-002",2,,,,,,,,,,425.283569335938
"H07502-04-01","P07502-009",2,"P07502-002",2,,,,,,,,,,425.283569335938
"H07502-04-01","P07502-010",2,"P07502-002",2,,,,,,,,,,425.283569335938
"H07502-04-01","P07502-011",2,"P07502-002",1,14,7,5,13,1,,6,1,2000,425.283569335938
"H07502-04-01","P07502-012",2,"P07502-002",2,,,,,,,,,,425.283569335938
"H07502-04-01","P07502-013",2,"P07502-002",2,,,,,,,,,,425.283569335938
"H07502-04-01","P07502-016",2,"P07502-002",2,,,,,,,,,,425.283569335938
"H07502-04-02","P07502-023",1,,2,,,,,,,,,,425.283569335938
"H07502-04-02","P07502-027",1,,2,,,,,,,,,,425.283569335938
"H07502-04-03","P07502-020",1,,2,,,,,,,,,,425.283569335938
"H07502-04-03","P07502-021",2,"P07502-020",1,2,0,9,11,1,,6,1,20000,425.283569335938
"H07502-04-03","P07502-022",2,"P07502-020",1,3,0,5,13,1,,6,1,7000,425.283569335938
"H07502-04-04","P07502-015",2,"P07502-019",2,,,,,,,,,,425.283569335938
"H07502-04-04","P07502-019",1,,2,,,,,,,,,,425.283569335938
"H07502-04-04","P07502-029",1,,2,,,,,,,,,,425.283569335938
"H07502-04-04","P07502-030",1,,2,,,,,,,,,,425.283569335938
"H07502-04-04","P07502-031",2,"P07502-030",2,,,,,,,,,,425.283569335938
"H07502-04-04","P07502-032",2,"P07502-030",2,,,,,,,,,,425.283569335938
"H07502-04-06","P07502-024",1,,1,6,0,9,96,1,,2,0.7,0,425.283569335938
"H07502-04-06","P07502-025",2,"P07502-024",2,,,,,,,,,,425.283569335938
"H07502-04-06","P07502-034",2,"P07502-024",2,,,,,,,,,,425.283569335938
"H07502-04-06","P07502-035",2,"P07502-024",2,,,,,,,,,,425.283569335938
"H07502-04-06","P07502-037",2,"P07502-024",2,,,,,,,,,,425.283569335938
"H07502-04-07","P07502-004",1,,1,3,0,5,9,1,,11,0.5,65000,425.283569335938
"H07502-04-07","P07502-038",2,"P07502-004",2,,,,,,,,,,425.283569335938
"H07502-04-07","P07502-039",2,"P07502-004",1,4,0,96,9,1,,5,5,50000,425.283569335938
"H07504-04-01","P07504-001",1,,2,,,,,,,,,,2551.70141601563
"H07504-04-01","P07504-003",2,"P07504-001",2,,,,,,,,,,2551.70141601563
"H07504-04-01","P07504-004",2,"P07504-001",2,,,,,,,,,,2551.70141601563
"H07504-04-01","P07504-005",2,"P07504-012",2,,,,,,,,,,2551.70141601563
"H07504-04-01","P07504-007",2,"P07504-001",2,,,,,,,,,,2551.70141601563
"H07504-04-01","P07504-008",2,"P07504-001",2,,,,,,,,,,2551.70141601563
"H07504-04-01","P07504-009",2,"P07504-001",2,,,,,,,,,,2551.70141601563
"H07504-04-01","P07504-012",2,"P07504-001",2,,,,,,,,,,2551.70141601563
"H07506-04-01","P07506-001",1,,2,,,,,,,,,,2551.70141601563
"H07506-04-01","P07506-002",2,"P07506-001",1,12,4,4,11,1,,2,15,0,2551.70141601563
"H07506-04-01","P07506-003",2,"P07506-001",2,,,,,,,,,,2551.70141601563
"H07506-04-01","P07506-008",2,"P07506-001",1,7,5,4,13,1,,2,3.2,0,2551.70141601563
"H07507-04-01","P07507-001",1,,1,14,7,13,5,1,,7,3.2,3000,2551.70141601563
"H07507-04-01","P07507-003",2,"P07507-001",1,10,5,5,19,1,,7,3.2,12000,2551.70141601563
"H07507-04-01","P07507-004",2,"P07507-001",1,10,0,5,96,1,,7,1,7000,2551.70141601563
"H07507-04-01","P07507-005",2,"P07507-001",1,10,0,13,96,1,,7,1,17000,2551.70141601563
"H07507-04-01","P07507-006",2,"P07507-001",1,10,2,5,96,1,,7,1,5000,2551.70141601563
"H07508-04-01","P07508-001",1,,2,,,,,,,,,,2551.70141601563
"H07508-04-01","P07508-002",2,"P07508-001",2,,,,,,,,,,2551.70141601563
"H07508-04-01","P07508-003",2,"P07508-001",2,,,,,,,,,,2551.70141601563
"H07508-04-01","P07508-006",1,,1,4,0,11,40,1,,10,1,1500,2551.70141601563
"H07508-04-01","P07508-007",2,"P07508-001",2,,,,,,,,,,2551.70141601563
"H07508-04-01","P07508-008",2,"P07508-006",1,3,0,11,40,2,1,,,,2551.70141601563
"H07509-04-01","P07509-010",2,"P07509-011",2,,,,,,,,,,637.925354003906
"H07509-04-01","P07509-011",1,,2,,,,,,,,,,637.925354003906
"H07509-04-01","P07509-012",2,"P07509-010",1,7,6,5,8,1,,2,3.2,0,637.925354003906
"H07509-04-01","P07509-013",2,"P07509-010",2,,,,,,,,,,637.925354003906
"H07509-04-01","P07509-014",2,"P07509-010",2,,,,,,,,,,637.925354003906
"H07509-04-01","P07509-024",2,"P07509-011",2,,,,,,,,,,637.925354003906
"H07509-04-02","P07509-001",1,,2,,,,,,,,,,637.925354003906
"H07509-04-02","P07509-025",1,,2,,,,,,,,,,637.925354003906
"H07509-04-03","P07509-016",2,"P07509-018",2,,,,,,,,,,637.925354003906
"H07509-04-03","P07509-017",2,"P07509-018",1,5,4,5,96,1,,7,0,5000,637.925354003906
"H07509-04-03","P07509-018",1,,2,,,,,,,,,,637.925354003906
"H07509-04-03","P07509-019",2,"P07509-018",1,5,3,5,13,1,,7,0,6000,637.925354003906
"H07509-04-04","P07509-005",1,,1,14,5,14,96,1,,2,0,0,637.925354003906
"H07509-04-04","P07509-009",2,"P07509-005",1,7,1,14,96,1,,2,0,0,637.925354003906
"H07510-04-01","P07510-001",1,,2,,,,,,,,,,2551.70141601563
"H07510-04-01","P07510-003",2,"P07510-001",1,4,4,8,11,1,,2,1,0,2551.70141601563
"H07510-04-01","P07510-004",2,"P07510-001",2,,,,,,,,,,2551.70141601563
"H07510-04-01","P07510-008",2,"P07510-001",2,,,,,,,,,,2551.70141601563
"H07510-04-01","P07510-012",2,"P07510-001",2,,,,,,,,,,2551.70141601563
"H07510-04-01","P07510-013",2,"P07510-001",2,,,,,,,,,,2551.70141601563
"H07510-04-01","P07510-014",2,"P07510-001",2,,,,,,,,,,2551.70141601563
"H07510-04-01","P07510-016",2,"P07510-001",2,,,,,,,,,,2551.70141601563
"H07510-04-01","P07510-017",2,"P07510-001",2,,,,,,,,,,2551.70141601563
"H08101-04-01","P08101-001",1,,1,7,0,13,20,1,,7,0.5,10000,2792.466796875
"H08101-04-01","P08101-002",2,"P08101-001",2,,,,,,,,,,2792.466796875
"H08101-04-01","P08101-003",2,"P08101-001",2,,,,,,,,,,2792.466796875
"H08102-04-01","P08102-001",1,,2,,,,,,,,,,465.4111328125
"H08102-04-02","P08102-004",2,"P08102-005",2,,,,,,,,,,465.4111328125
"H08102-04-02","P08102-005",1,,1,5,0,9,8,1,,7,1,8000,465.4111328125
"H08102-04-02","P08102-006",2,"P08102-005",2,,,,,,,,,,465.4111328125
"H08102-04-02","P08102-007",2,"P08102-005",2,,,,,,,,,,465.4111328125
"H08102-04-02","P08102-046",2,"P08102-005",1,3,1,13,40,1,,7,1,3000,465.4111328125
"H08102-04-02","P08102-047",2,"P08102-005",2,,,,,,,,,,465.4111328125
"H08102-04-03","P08102-019",1,,2,,,,,,,,,,465.4111328125
"H08102-04-03","P08102-020",1,,2,,,,,,,,,,465.4111328125
"H08102-04-03","P08102-021",2,"P08102-020",2,,,,,,,,,,465.4111328125
"H08102-04-03","P08102-022",2,"P08102-020",2,,,,,,,,,,465.4111328125
"H08102-04-03","P08102-023",2,"P08102-020",2,,,,,,,,,,465.4111328125
"H08102-04-03","P08102-024",2,"P08102-020",2,,,,,,,,,,465.4111328125
"H08102-04-03","P08102-025",2,"P08102-020",2,,,,,,,,,,465.4111328125
"H08102-04-03","P08102-026",2,"P08102-020",2,,,,,,,,,,465.4111328125
"H08102-04-03","P08102-027",2,"P08102-020",2,,,,,,,,,,465.4111328125
"H08102-04-03","P08102-028",2,"P08102-020",1,7,4,4,11,1,,7,0.4,20000,465.4111328125
"H08102-04-03","P08102-039",2,"P08102-020",1,14,6,13,11,1,,7,1,60000,465.4111328125
"H08102-04-03","P08102-043",2,"P08102-020",2,,,,,,,,,,465.4111328125
"H08102-04-04","P08102-040",1,,1,3,1,4,40,1,,7,0.3,25000,465.4111328125
"H08102-04-04","P08102-041",2,"P08102-040",2,,,,,,,,,,465.4111328125
"H08102-04-04","P08102-044",2,"P08102-040",1,7,5,4,11,1,,7,0.2,20000,465.4111328125
"H08102-04-06","P08102-033",1,,1,6,1,4,9,1,,7,0.2,13500,465.4111328125
"H08103-04-01","P08103-001",2,"P08103-002",2,,,,,,,,,,2792.466796875
"H08103-04-01","P08103-002",1,,2,,,,,,,,,,2792.466796875
"H08103-04-01","P08103-003",2,"P08103-002",1,5,0,13,8,1,,6,0.2,3000,2792.466796875
"H08103-04-01","P08103-004",2,"P08103-002",1,7,0,13,,1,,7,0.2,2000,2792.466796875
"H08103-04-01","P08103-005",2,"P08103-002",2,,,,,,,,,,2792.466796875
"H08103-04-01","P08103-006",2,"P08103-002",2,,,,,,,,,,2792.466796875
"H08103-04-01","P08103-007",2,"P08103-002",2,,,,,,,,,,2792.466796875
"H08103-04-01","P08103-008",2,"P08103-002",2,,,,,,,,,,2792.466796875
"H08107-04-01","P08107-001",1,,1,4,2,5,96,1,,7,1,38000,2792.466796875
"H08107-04-01","P08107-002",2,"P08107-001",1,5,3,5,8,1,,7,1,40000,2792.466796875
"H08107-04-01","P08107-003",2,"P08107-001",2,,,,,,,,,,2792.466796875
"H08107-04-01","P08107-005",2,"P08107-001",2,,,,,,,,,,2792.466796875
"H08107-04-01","P08107-006",2,"P08107-001",2,,,,,,,,,,2792.466796875
"H08107-04-01","P08107-007",1,,1,2,0,5,2,1,,6,0.5,7000,2792.466796875
"H08110-04-01","P08110-001",1,,2,,,,,,,,,,2792.466796875
"H08114-04-01","P08114-001",1,,1,2,0,5,8,2,96,,,,2792.466796875
"H08301-04-01","P08301-001",1,,1,5,0,19,8,1,,7,2,30000,2792.466796875
"H08301-04-01","P08301-002",2,"P08301-001",1,14,10,5,9,1,,7,2,20000,2792.466796875
"H08301-04-01","P08301-003",2,"P08301-001",2,,,,,,,,,,2792.466796875
"H08301-04-01","P08301-005",2,"P08301-001",2,,,,,,,,,,2792.466796875
"H08301-04-01","P08301-006",2,"P08301-001",1,5,0,96,8,2,1,,,,2792.466796875
"H08301-04-01","P08301-010",2,"P08301-001",2,,,,,,,,,,2792.466796875
"H08301-04-01","P08301-011",2,"P08301-001",2,,,,,,,,,,2792.466796875
"H08302-04-01","P08302-001",1,,2,,,,,,,,,,698.11669921875
"H08302-04-01","P08302-002",2,"P08302-001",2,,,,,,,,,,698.11669921875
"H08302-04-01","P08302-005",1,,2,,,,,,,,,,698.11669921875
"H08302-04-01","P08302-006",1,,1,3,2,4,40,1,,7,0.3,3500,698.11669921875
"H08302-04-01","P08302-026",2,"P08302-001",2,,,,,,,,,,698.11669921875
"H08302-04-01","P08302-033",2,"P08302-001",1,2,0,11,40,2,1,,,,698.11669921875
"H08302-04-02","P08302-004",2,"P08302-007",1,2,0,1,40,1,,2,1,5000,698.11669921875
"H08302-04-02","P08302-007",1,,2,,,,,,,,,,698.11669921875
"H08302-04-02","P08302-008",2,"P08302-004",2,,,,,,,,,,698.11669921875
"H08302-04-02","P08302-009",2,"P08302-007",2,,,,,,,,,,698.11669921875
"H08302-04-02","P08302-010",2,"P08302-007",2,,,,,,,,,,698.11669921875
"H08302-04-02","P08302-011",2,"P08302-007",2,,,,,,,,,,698.11669921875
"H08302-04-02","P08302-012",2,"P08302-007",2,,,,,,,,,,698.11669921875
"H08302-04-02","P08302-013",2,"P08302-007",2,,,,,,,,,,698.11669921875
"H08302-04-02","P08302-015",2,"P08302-007",2,,,,,,,,,,698.11669921875
"H08302-04-02","P08302-032",2,"P08302-007",2,,,,,,,,,,698.11669921875
"H08302-04-02","P08302-034",2,"P08302-007",2,,,,,,,,,,698.11669921875
"H08302-04-02","P08302-035",2,"P08302-007",2,,,,,,,,,,698.11669921875
"H08302-04-03","P08302-027",1,,2,,,,,,,,,,698.11669921875
"H08302-04-03","P08302-028",2,"P08302-027",2,,,,,,,,,,698.11669921875
"H08302-04-03","P08302-029",2,"P08302-027",2,,,,,,,,,,698.11669921875
"H08302-04-03","P08302-030",2,"P08302-027",2,,,,,,,,,,698.11669921875
"H08302-04-03","P08302-031",2,"P08302-027",2,,,,,,,,,,698.11669921875
"H08302-04-03","P08302-032",2,"P08302-027",2,,,,,,,,,,698.11669921875
"H08302-04-03","P08302-036",2,"P08302-027",2,,,,,,,,,,698.11669921875
"H08302-04-04","P08302-016",2,"P08302-018",1,9,0,6,8,1,,2,0,0,698.11669921875
"H08302-04-04","P08302-017",2,"P08302-018",2,,,,,,,,,,698.11669921875
"H08302-04-04","P08302-018",1,,1,7,5,13,9,1,,2,0,0,698.11669921875
"H08302-04-04","P08302-021",2,"P08302-018",2,,,,,,,,,,698.11669921875
"H08302-04-04","P08302-022",2,"P08302-018",2,,,,,,,,,,698.11669921875
"H08302-04-04","P08302-023",2,"P08302-018",2,,,,,,,,,,698.11669921875
"H08302-04-04","P08302-024",2,"P08302-018",2,,,,,,,,,,698.11669921875
"H08302-04-04","P08302-025",2,"P08302-018",2,,,,,,,,,,698.11669921875
"H08303-04-01","P08303-001",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-002",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-003",1,,2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-006",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-008",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-009",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-010",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-011",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-012",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-013",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-014",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-017",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-018",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-019",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08303-04-01","P08303-020",2,"P08303-003",1,3,0,5,8,2,2,,,,2792.466796875
"H08303-04-01","P08303-021",2,"P08303-003",2,,,,,,,,,,2792.466796875
"H08304-04-01","P08304-001",2,"P08304-002",2,,,,,,,,,,2792.466796875
"H08304-04-01","P08304-002",1,,2,,,,,,,,,,2792.466796875
"H08304-04-01","P08304-003",2,"P08304-002",2,,,,,,,,,,2792.466796875
"H08304-04-01","P08304-004",2,"P08304-002",1,2,2,9,8,1,,2,1,0,2792.466796875
"H08304-04-01","P08304-005",2,"P08304-002",2,,,,,,,,,,2792.466796875
"H08304-04-01","P08304-006",2,"P08304-002",2,,,,,,,,,,2792.466796875
"H08304-04-01","P08304-007",2,"P08304-002",2,,,,,,,,,,2792.466796875
"H08305-04-01","P08305-001",1,,1,30,14,19,8,1,,7,2,5000,2792.466796875
"H08306-04-01","P08306-001",1,,1,7,7,9,5,1,,5,1,37000,2792.466796875
"H08306-04-01","P08306-003",2,"P08306-001",2,,,,,,,,,,2792.466796875
"H08306-04-01","P08306-004",2,"P08306-001",2,,,,,,,,,,2792.466796875
"H08306-04-01","P08306-005",2,"P08306-001",2,,,,,,,,,,2792.466796875
"H08306-04-01","P08306-007",2,"P08306-001",2,,,,,,,,,,2792.466796875
"H08306-04-01","P08306-008",2,"P08306-001",2,,,,,,,,,,2792.466796875
"H08306-04-01","P08306-009",2,"P08306-001",2,,,,,,,,,,2792.466796875
"H08307-04-02","P08307-001",1,,2,,,,,,,,,,1396.2333984375
