"HHID","PID","w2q1a","w2q1b","w2q1c","w2q2","w2q3","w2q4","w2q5","wgt_X"
"H09510-04-01","P09510-004",3,,,3,,,,2792.466796875
"H09510-04-01","P09510-002",1,"P09510-001",1,,,20,25,2792.466796875
"H09513-04-01","P09513-001",2,"P09513-008",1,,,25,30,2792.466796875
"H09514-04-01","P09514-007",1,"P09514-001",2,,,17,28,2792.466796875
"H09604-04-01","P09604-002",1,"P09604-001",1,,,25,35,2792.466796875
"H09605-04-01","P09605-003",3,,,3,,,,2792.466796875
"H09605-04-01","P09605-002",1,"P09605-001",1,,,25,39,2792.466796875
"H09610-04-01","P09610-014",3,,,3,,,,2792.466796875
"H09610-04-01","P09610-002",2,"P09610-001",1,,,30,32,2792.466796875
"H09613-04-01","P09613-002",1,"P09613-001",1,,,17,20,2792.466796875
"H09705-04-01","P09705-002",1,"P09705-001",1,,,16,18,2792.466796875
"H09706-04-01","P09706-001",3,,,2,3,17,22,2792.466796875
"H09901-04-01","P09901-013",1,,2,,,17,20,2792.466796875
"H09901-04-01","P09901-023",3,,,3,,,,2792.466796875
"H09903-04-01","P09903-001",2,,2,,,14,24,2792.466796875
"H09905-04-01","P09905-002",2,"P09905-001",1,,,20,25,2792.466796875
"H09906-04-01","P09906-003",3,,,2,3,18,19,2792.466796875
"H09908-04-01","P09908-003",3,,,3,,,,2792.466796875
"H09908-04-01","P09908-002",1,"P09908-001",1,,,20,25,2792.466796875
"H09909-04-01","P09909-002",3,,,3,,,,2792.466796875
"H09909-04-01","P09909-001",3,,,1,2,14,18,2792.466796875
"H10002-04-01","P10002-002",1,"P10002-001",1,,,16,43,2792.466796875
"H10003-04-01","P10003-002",1,"P10003-001",1,,,23,30,2792.466796875
"H10004-04-01","P10004-002",2,"P10004-001",1,,,16,22,2792.466796875
"H10004-04-01","P10004-010",3,,,3,,,,2792.466796875
"H10004-04-01","P10004-005",3,,,3,,,,2792.466796875
"H10007-04-01","P10007-007",1,"P10007-006",1,,,27,32,1396.2333984375
"H10007-04-01","P10007-022",3,,,3,,,,1396.2333984375
"H10007-04-02","P10007-002",3,,,2,3,20,27,1396.2333984375
"H10009-04-01","P10009-007",1,"P10009-001",1,,,21,28,1396.2333984375
"H10010-04-01","P10010-006",3,,,3,,,,2792.466796875
"H10201-04-01","P10201-007",2,"P10201-001",2,,,19,22,1396.23327636719
"H10201-04-02","P10201-009",2,"P10201-004",2,,,16,30,1396.23327636719
"H10205-04-01","P10205-002",3,,,1,3,18,30,2792.46655273438
"H10205-04-01","P10205-003",3,,,3,,,,2792.46655273438
"H10207-04-01","P10207-002",3,,,3,,,,2792.46655273438
"H10207-04-01","P10207-010",3,,,3,,,,2792.46655273438
"H10304-04-01","P10304-002",1,"P10304-001",1,,,20,21,2792.466796875
"H10306-04-01","P10306-002",2,"P10306-001",1,,,20,24,2792.466796875
"H10309-04-01","P10309-010",3,,,1,3,23,30,2792.466796875
"H10311-04-01","P10311-002",2,"P10311-001",1,,,18,19,2792.466796875
"H10701-04-02","P10701-004",1,"P10701-011",1,,,23,15,757.547973632813
"H10701-04-03","P10701-003",1,"P10701-014",2,,,16,20,757.547973632813
"H10703-04-01","P10703-002",3,,,3,,,,2272.64404296875
"H10704-04-01","P10704-002",2,"P10704-001",2,,,33,52,1136.32202148438
"H10704-04-01","P10704-006",3,,,2,2,18,25,1136.32202148438
"H10704-04-02","P10704-024",2,"P10704-005",1,,,18,22,1136.32202148438
"H10704-04-02","P10704-021",3,,,2,2,19,23,1136.32202148438
"H10706-04-01","P10706-002",2,"P10706-001",1,,,14,20,1136.32202148438
"H10707-04-01","P10707-002",1,"P10707-001",1,,,18,30,2272.64404296875
"H10707-04-01","P10707-003",3,,,3,,,,2272.64404296875
"H10708-04-01","P10708-005",3,,,3,,,,2272.64404296875
"H10709-04-01","P10709-002",2,"P10709-001",2,,,20,44,2272.64404296875
"H10710-04-01","P10710-008",3,,,3,,,,454.52880859375
"H10710-04-01","P10710-007",3,,,3,,,,454.52880859375
"H10710-04-04","P10710-004",2,"P10710-020",1,,,19,26,454.52880859375
"H10710-04-05","P10710-018",1,"P10710-016",1,,,18,26,454.52880859375
"H10801-04-01","P10801-007",1,"P10801-001",2,,,15,25,2272.64404296875
"H10803-04-01","P10803-006",3,,,3,,,,757.547973632813
"H10803-04-01","P10803-002",1,"P10803-001",1,,,14,23,757.547973632813
"H10803-04-01","P10803-007",3,,,3,,,,757.547973632813
"H10803-04-02","P10803-005",2,"P10803-022",1,,,,,757.547973632813
"H10804-04-01","P10804-002",1,"P10804-001",1,,,19,25,2272.64404296875
"H10807-04-01","P10807-002",1,"P10807-001",1,,,14,28,1136.32202148438
"H10807-04-02","P10807-004",2,"P10807-016",1,,,18,24,1136.32202148438
"H10809-04-01","P10809-002",3,,,1,1,20,27,2272.64404296875
"H10904-04-01","P10904-002",1,"P10904-001",1,,,15,28,2272.64404296875
"H10905-04-01","P10905-002",2,"P10905-001",1,,,20,26,2272.64404296875
"H10905-04-01","P10905-009",3,,,3,,,,2272.64404296875
"H10906-04-01","P10906-002",2,"P10906-001",1,,,24,35,2272.64404296875
"H10908-04-01","P10908-002",1,"P10908-001",1,,,14,24,2272.64404296875
"H10909-04-01","P10909-011",1,"P10909-010",1,,,20,21,568.161010742188
"H10909-04-01","P10909-015",3,,,3,,,,568.161010742188
"H10909-04-01","P10909-012",3,,,3,,,,568.161010742188
"H10909-04-01","P10909-014",3,,,3,,,,568.161010742188
"H10909-04-01","P10909-017",1,"P10909-010",1,,,18,42,568.161010742188
"H11001-04-01","P11001-002",1,"P11001-001",1,,,17,21,2272.64404296875
"H11002-04-01","P11002-002",1,"P11002-001",1,,,15,22,2272.64404296875
"H11002-04-01","P11002-006",3,,,3,,,,2272.64404296875
"H11002-04-01","P11002-015",1,"P11002-003",1,,,19,22,2272.64404296875
"H11003-04-01","P11003-002",1,"P11003-001",1,,,19,21,2272.64404296875
"H11006-04-01","P11006-008",1,"P11006-001",2,,,13,15,2272.64404296875
"H11007-04-01","P11007-011",2,"P11007-001",1,,,17,29,2272.64404296875
"H11011-04-01","P11011-002",2,"P11011-001",1,,,20,26,2272.64404296875
"H11403-04-01","P11403-001",3,,,1,2,20,27,2272.64404296875
"H11405-04-01","P11405-002",2,"P11405-001",1,,,15,31,2272.64404296875
"H11405-04-01","P11405-004",3,,,3,,,,2272.64404296875
"H11409-04-01","P11409-001",1,"P11409-009",1,,,16,21,2272.64404296875
"H11414-04-01","P11414-016",2,"P11414-009",1,,,20,23,2272.64404296875
"H11414-04-01","P11414-008",3,,,3,,,,2272.64404296875
"H11414-04-01","P11414-002",1,"P11414-001",1,,,15,24,2272.64404296875
"H11414-04-01","P11414-003",3,,,3,,,,2272.64404296875
"H11501-04-01","P11501-002",3,,,2,1,16,23,2272.64404296875
"H11502-04-02","P11502-002",3,,,2,3,18,20,1136.32202148438
"H11504-04-01","P11504-011",1,"P11504-001",1,,,22,31,2272.64404296875
"H11504-04-01","P11504-002",2,"P11504-001",1,,,18,28,2272.64404296875
"H11506-04-02","P11506-019",2,"P11506-018",1,,,20,25,757.547973632813
"H11506-04-03","P11506-025",3,,,3,,,,757.547973632813
"H11506-04-03","P11506-010",1,"P11506-009",1,,,21,42,757.547973632813
"H11507-04-01","P11507-004",3,,,3,,,,2272.64404296875
"H11507-04-01","P11507-001",1,"P11507-002",2,,,18,22,2272.64404296875
"H11507-04-01","P11507-005",3,,,3,,,,2272.64404296875
"H11509-04-01","P11509-002",1,"P11509-001",1,,,18,24,2272.64404296875
"H11510-04-01","P11510-020",3,,,3,,,,2272.64404296875
"H11510-04-01","P11510-006",1,,1,,,21,28,2272.64404296875
"H11804-04-01","P11804-002",1,"P11804-001",1,,,20,24,2272.64404296875
"H11804-04-01","P11804-009",3,,,3,,,,2272.64404296875
"H11805-04-01","P11805-003",2,"P11805-001",2,,,30,40,2272.64404296875
"H11806-04-01","P11806-002",2,"P11806-001",1,,,16,30,2272.64404296875
"H11807-04-01","P11807-002",2,"P11807-004",2,,,24,29,2272.64404296875
"H11808-04-01","P11808-007",3,,,3,,,,1136.32202148438
"H11808-04-02","P11808-006",1,"P11808-005",1,,,20,,1136.32202148438
"H11809-04-01","P11809-011",2,"P11809-001",2,,,20,25,2272.64404296875
"H11810-04-01","P11810-004",3,,,3,,,,2272.64404296875
"H11810-04-01","P11810-003",1,"P11810-001",2,,,26,29,2272.64404296875
"H11901-04-01","P11901-002",2,"P11901-001",1,,,26,29,2272.64404296875
"H11901-04-01","P11901-008",3,,,3,,,,2272.64404296875
"H11903-04-01","P11903-006",3,,,3,,,,1136.32202148438
"H11903-04-01","P11903-001",3,,,2,1,19,27,1136.32202148438
"H11903-04-01","P11903-008",3,,,3,,,,1136.32202148438
"H11903-04-02","P11903-003",1,"P11903-013",1,,,27,35,1136.32202148438
"H11905-04-01","P11905-002",1,"P11905-001",1,,,18,43,2272.64404296875
"H11905-04-01","P11905-004",3,,,3,,,,2272.64404296875
"H11907-04-01","P11907-002",2,"P11907-001",1,,,18,20,2272.64404296875
"H11908-04-01","P11908-002",1,"P11908-001",1,,,18,30,2272.64404296875
"H12001-04-01","P12001-002",3,,,3,,,,2272.64404296875
"H12001-04-01","P12001-003",3,,,1,3,18,20,2272.64404296875
"H12003-04-01","P12003-008",3,,,3,,,,1136.32202148438
"H12003-04-01","P12003-004",3,,,3,,,,1136.32202148438
"H12003-04-01","P12003-002",1,"P12003-001",1,,,14,21,1136.32202148438
"H12003-04-02","P12003-020",1,"P12003-003",1,,,18,23,1136.32202148438
"H12005-04-01","P12005-002",1,"P12005-001",1,,,17,24,2272.64404296875
"H12007-04-01","P12007-002",2,"P12007-001",1,,,18,22,2272.64404296875
"H12008-04-01","P12008-006",3,,,3,,,,1136.32202148438
"H12008-04-01","P12008-021",1,"P12008-002",1,,,19,26,1136.32202148438
"H12008-04-02","P12008-004",2,"P12008-022",1,,,20,21,1136.32202148438
"H12009-04-01","P12009-003",3,,,3,,,,2272.64404296875
"H12011-04-01","P12011-002",1,"P12011-001",1,,,18,23,2272.64404296875
"H12303-04-01","P12303-004",3,,,2,1,18,20,2272.64404296875
"H12306-04-01","P12306-002",1,"P12306-001",2,,,15,20,2272.64404296875
"H12306-04-01","P12306-005",3,,,3,,,,2272.64404296875
"H12310-04-01","P12310-008",3,,,3,,,,2272.64404296875
"H12310-04-01","P12310-005",3,,,3,,,,2272.64404296875
"H12310-04-01","P12310-002",3,,,3,,,,2272.64404296875
"H12311-04-01","P12311-002",1,"P12311-001",1,,,23,24,2272.64404296875
"H12401-04-01","P12401-002",2,"P12401-001",1,,,20,44,2272.64404296875
"H12402-04-01","P12402-005",3,,,2,2,26,29,2272.64404296875
"H12402-04-01","P12402-002",3,,,3,,,,2272.64404296875
"H12404-04-01","P12404-008",3,,,3,,,,2272.64404296875
"H12407-04-02","P12407-002",3,,,2,3,18,22,1136.32202148438
"H12407-04-02","P12407-007",1,,1,,,18,26,1136.32202148438
"H12408-04-01","P12408-001",3,,,1,1,28,32,2272.64404296875
"H12408-04-01","P12408-008",3,,,3,,,,2272.64404296875
"H12501-04-01","P12501-002",2,"P12501-001",2,,,18,20,2272.64404296875
"H12502-04-01","P12502-002",2,"P12502-001",1,,,15,18,2272.64404296875
"H12505-04-01","P12505-002",2,"P12505-001",1,,,18,19,2272.64404296875
"H12506-04-01","P12506-002",1,"P12506-001",1,,,16,33,2272.64404296875
"H12507-04-01","P12507-002",2,"P12507-001",2,,,19,23,2272.64404296875
"H12509-04-01","P12509-002",2,"P12509-001",1,,,16,22,2272.64404296875
"H12509-04-01","P12509-005",3,,,3,,,,2272.64404296875
"H12510-04-01","P12510-002",2,"P12510-001",1,,,17,19,2272.64404296875
"H12510-04-01","P12510-004",3,,,3,,,,2272.64404296875
"H12512-04-01","P12512-001",3,,,1,1,14,25,2272.64404296875
"H12512-04-01","P12512-004",3,,,3,,,,2272.64404296875
"H12601-04-01","P12601-007",3,,,3,,,,2272.6435546875
"H12603-04-01","P12603-002",1,"P12603-001",1,,,17,21,2272.6435546875
"H12604-04-01","P12604-009",1,"P12604-001",1,,,19,44,2272.6435546875
"H12605-04-01","P12605-002",1,"P12605-001",1,,,20,22,2272.6435546875
"H12606-04-02","P12606-014",2,"P12606-002",1,,,17,20,1136.32177734375
"H12611-04-01","P12611-002",1,"P12611-001",1,,,17,36,2272.6435546875
"H12701-04-01","P12701-001",1,"P12701-021",1,,,17,33,1136.32177734375
"H12701-04-02","P12701-007",3,,,1,,15,18,1136.32177734375
"H12703-04-01","P12703-004",3,,,3,,,,2272.6435546875
"H12703-04-01","P12703-003",3,,,3,,,,2272.6435546875
"H12704-04-01","P12704-011",3,,,1,1,16,35,2272.6435546875
"H12705-04-01","P12705-008",3,,,3,,,,2272.6435546875
"H12705-04-01","P12705-001",3,,,1,3,18,25,2272.6435546875
"H12706-04-01","P12706-002",1,"P12706-001",1,,,19,45,2272.6435546875
"H12709-04-01","P12709-002",2,"P12709-001",1,,,16,21,1136.32177734375
"H12710-04-01","P12710-009",3,,,3,,,,2272.6435546875
"H12805-04-01","P12805-001",3,,,1,3,21,30,757.547973632813
"H12805-04-01","P12805-009",3,,,3,,,,757.547973632813
"H12805-04-01","P12805-008",3,,,3,,,,757.547973632813
"H12808-04-01","P12808-002",2,"P12808-001",1,,,18,20,2272.64404296875
"H12809-04-01","P12809-003",3,,,3,,,,757.547973632813
"H12809-04-02","P12809-009",2,"P12809-007",1,,,17,18,757.547973632813
"H12809-04-03","P12809-012",2,"P12809-006",1,,,18,20,757.547973632813
"H12811-04-01","P12811-002",3,,,1,1,20,50,2272.64404296875
"H12812-04-01","P12812-002",3,,,1,3,15,20,2272.64404296875
"H12901-04-01","P12901-002",1,"P12901-001",2,,,18,40,2272.64404296875
"H12902-04-02","P12902-001",3,,,1,1,15,30,2272.64404296875
"H12903-04-01","P12903-006",3,,,3,,,,2272.64404296875
"H12903-04-01","P12903-002",1,,1,,,15,20,2272.64404296875
"H12904-04-01","P12904-005",3,,,3,,,,2272.64404296875
"H12904-04-01","P12904-003",3,,,2,2,18,25,2272.64404296875
"H12904-04-01","P12904-002",2,"P12904-001",1,,,17,23,2272.64404296875
"H12905-04-01","P12905-012",3,,,3,,,,1136.32202148438
"H12905-04-02","P12905-003",1,"P12905-013",1,,,18,26,1136.32202148438
"H12906-04-01","P12906-002",2,"P12906-001",1,,,17,25,2272.64404296875
"H12908-04-01","P12908-002",2,"P12908-001",2,,,21,31,2272.64404296875
"H12909-04-02","P12909-009",1,"P12909-001",1,,,18,32,2272.64404296875
"H12910-04-01","P12910-004",1,"P12910-003",2,,,19,21,2272.64404296875
"H13002-04-01","P13002-012",3,,,3,,,,2272.64404296875
"H13002-04-01","P13002-002",1,"P13002-001",1,,,15,28,2272.64404296875
"H13003-04-01","P13003-002",1,"P13003-001",2,,,14,17,2272.64404296875
"H13004-04-01","P13004-002",1,"P13004-001",1,,,20,30,2272.64404296875
"H13005-04-01","P13005-002",3,,,1,3,19,30,2272.64404296875
"H13006-04-01","P13006-002",3,,,2,3,21,37,378.773986816406
"H13006-04-01","P13006-061",1,"P13006-013",1,,,20,28,378.773986816406
"H13006-04-02","P13006-023",1,"P13006-022",1,,,19,24,378.773986816406
"H13006-04-03","P13006-009",1,"P13006-008",1,,,17,23,378.773986816406
"H13006-04-04","P13006-059",1,"P13006-058",1,,,16,36,378.773986816406
"H13007-04-01","P13007-002",1,"P13007-001",1,,,18,20,2272.64404296875
"H13008-04-01","P13008-002",1,"P13008-001",1,,,18,21,2272.64404296875
"H13009-04-01","P13009-004",3,,,3,,,,2272.64404296875
"H13009-04-01","P13009-002",1,"P13009-001",1,,,18,23,2272.64404296875
"H13010-04-01","P13010-002",1,"P13010-001",1,,,18,38,2272.64404296875
"H13010-04-01","P13010-005",3,,,2,3,18,25,2272.64404296875
"H13102-04-01","P13102-002",2,"P13102-001",2,,,21,42,1136.32202148438
"H13104-04-01","P13104-014",2,"P13104-001",1,,,17,33,2272.64404296875
"H13105-04-01","P13105-002",2,"P13105-001",1,,,19,25,1136.32202148438
"H13105-04-01","P13105-005",3,,,3,,,,1136.32202148438
"H13105-04-02","P13105-003",2,"P13105-013",1,,,20,25,1136.32202148438
"H13106-04-01","P13106-017",3,,,3,,,,2272.64404296875
"H13106-04-01","P13106-003",3,,,1,3,17,20,2272.64404296875
"H13106-04-01","P13106-002",1,"P13106-001",1,,,15,25,2272.64404296875
"H13107-04-02","P13107-019",1,"P13107-018",1,,,14,17,757.547973632813
"H13107-04-03","P13107-012",3,,,1,3,18,23,757.547973632813
"H13107-04-03","P13107-028",3,,,3,,,,757.547973632813
"H13107-04-04","P13107-009",1,"P13107-015",1,,,15,20,757.547973632813
"H13108-04-01","P13108-008",3,,,1,3,18,22,1136.32202148438
"H13108-04-01","P13108-003",3,,,1,3,18,27,1136.32202148438
"H13108-04-02","P13108-002",2,"P13108-014",2,,,15,50,1136.32202148438
"H13109-04-01","P13109-002",1,"P13109-001",2,,,19,24,2272.64404296875
"H13111-04-01","P13111-001",3,,,1,3,16,19,2272.64404296875
"H13202-04-01","P13202-002",2,"P13202-001",1,,,22,27,2272.64404296875
"H13204-04-01","P13204-005",1,"P13204-001",1,,,22,26,2272.64404296875
"H13205-04-02","P13205-002",2,"P13205-001",2,,,20,20,757.547973632813
"H13205-04-02","P13205-015",2,"P13205-001",1,,,15,21,757.547973632813
"H13205-04-04","P13205-008",1,"P13205-019",1,,,19,24,757.547973632813
"H13207-04-01","P13207-006",1,"P13207-001",1,,,17,35,2272.64404296875
"H13208-04-01","P13208-002",3,,,3,,,,1136.32202148438
"H13208-04-01","P13208-001",3,,,1,1,18,25,1136.32202148438
"H13208-04-02","P13208-010",2,,1,,,19,30,1136.32202148438
"H13306-04-01","P13306-007",3,,,1,1,19,24,2272.6435546875
"H13307-04-01","P13307-016",1,"P13307-001",1,,,14,29,1136.32177734375
"H13307-04-02","P13307-002",1,"P13307-022",2,,,16,25,1136.32177734375
"H13308-04-01","P13308-002",1,"P13308-001",1,,,19,23,2272.6435546875
"H13309-04-01","P13309-002",1,"P13309-001",1,,,17,28,2272.6435546875
"H13310-04-01","P13310-102",2,"P13310-034",1,,,16,25,324.663391113281
"H13310-04-01","P13310-032",3,,,3,,,,324.663391113281
"H13310-04-01","P13310-030",3,,,3,,,,324.663391113281
"H13310-04-02","P13310-017",2,"P13310-016",1,,,18,19,324.663391113281
"H13310-04-03","P13310-008",2,"P13310-007",2,,,14,19,324.663391113281
"H13310-04-05","P13310-031",1,"P13310-098",1,,,14,26,324.663391113281
"H13310-04-06","P13310-079",1,"P13310-078",1,,,18,,324.663391113281
"H13310-04-07","P13310-075",1,"P13310-074",2,,,19,21,324.663391113281
"H13311-04-01","P13311-002",1,"P13311-001",2,,,18,30,2272.6435546875
"H14001-04-01","P14001-002",1,"P14001-001",1,,,18,20,2935.46557617188
"H14002-04-01","P14002-002",1,"P14002-001",1,,,16,21,2935.46557617188
"H14003-04-01","P14003-010",3,,,2,3,18,23,978.488586425781
"H14003-04-02","P14003-021",1,"P14003-001",1,,,22,34,978.488586425781
"H14003-04-03","P14003-013",1,"P14003-002",2,,,18,22,978.488586425781
"H14004-04-02","P14004-016",1,"P14004-004",1,,,17,18,978.488586425781
"H14004-04-03","P14004-003",2,,2,,,24,26,978.488586425781
"H14006-04-01","P14006-002",3,,,1,1,30,36,1467.73278808594
"H14006-04-01","P14006-005",3,,,3,,,,1467.73278808594
"H14006-04-02","P14006-003",1,"P14006-010",2,,,20,24,1467.73278808594
"H14006-04-02","P14006-003",1,"P14006-010",2,,,20,24,1467.73278808594
"H14007-04-01","P14007-004",3,,,2,3,20,22,2935.46557617188
"H14008-04-01","P14008-010",1,"P14008-004",2,,,15,20,1467.73278808594
"H14008-04-02","P14008-005",1,"P14008-003",1,,,18,21,1467.73278808594
"H14008-04-02","P14008-006",1,"P14008-003",2,,,18,22,1467.73278808594
"H14009-04-01","P14009-003",3,,,3,,,,2935.46557617188
"H14101-04-01","P14101-002",1,"P14101-001",1,,,18,23,2935.46557617188
"H14101-04-01","P14101-004",3,,,3,,,,2935.46557617188
"H14104-04-01","P14104-002",1,"P14104-001",2,,,18,21,1467.73278808594
"H14110-04-01","P14110-009",3,,,3,,,,2935.46557617188
"H14111-04-01","P14111-004",3,,,3,,,,2935.46557617188
"H14111-04-01","P14111-002",1,"P14111-001",1,,,21,24,2935.46557617188
"H14202-04-01","P14202-003",3,,,2,3,16,21,2935.46557617188
"H14203-04-01","P14203-002",1,"P14203-001",1,,,17,17,2935.46557617188
"H14206-04-01","P14206-002",1,"P14206-001",1,,,19,21,2935.46557617188
"H14207-04-02","P14207-012",1,"P14207-008",1,,,25,29,978.488586425781
"H14207-04-03","P14207-005",1,"P14207-018",1,,,16,21,978.488586425781
"H14208-04-01","P14208-003",3,,,3,,,,2935.46557617188
"H14208-04-01","P14208-002",1,"P14208-001",1,,,18,20,2935.46557617188
"H14209-04-01","P14209-003",2,"P14209-001",1,,,18,20,2935.46557617188
"H14210-04-01","P14210-010",1,"P14210-001",1,,,16,30,2935.46557617188
"H14301-04-01","P14301-001",3,,,1,3,14,18,1467.73278808594
"H14301-04-02","P14301-008",1,"P14301-002",2,,,18,22,1467.73278808594
"H14301-04-02","P14301-010",3,,,2,2,18,24,1467.73278808594
"H14302-04-02","P14302-011",1,"P14302-010",1,,,16,21,733.866394042969
"H14302-04-03","P14302-005",1,"P14302-034",1,,,17,22,733.866394042969
"H14302-04-04","P14302-026",1,"P14302-023",1,,,17,22,733.866394042969
"H14302-04-04","P14302-019",1,"P14302-022",2,,,19,22,733.866394042969
"H14304-04-02","P14304-002",1,"P14304-001",1,,,19,29,733.866394042969
"H14304-04-03","P14304-004",1,"P14304-009",1,,,20,25,733.866394042969
"H14304-04-04","P14304-011",1,"P14304-018",2,,,22,28,733.866394042969
"H14305-04-01","P14305-002",1,"P14305-001",1,,,19,29,2935.46557617188
"H14306-04-01","P14306-006",3,,,3,,,,1467.73278808594
"H14306-04-01","P14306-007",3,,,3,,,,1467.73278808594
"H14307-04-01","P14307-004",3,,,3,,,,2935.46557617188
"H14307-04-01","P14307-002",1,"P14307-001",1,,,18,30,2935.46557617188
"H14308-04-01","P14308-004",3,,,3,,,,1467.73278808594
"H14308-04-01","P14308-023",1,"P14308-003",1,,,18,24,1467.73278808594
"H14308-04-01","P14308-002",1,"P14308-001",1,,,23,23,1467.73278808594
"H14308-04-02","P14308-007",1,,2,,,19,38,1467.73278808594
"H14309-04-01","P14309-006",3,,,3,,,,587.093139648438
"H14309-04-02","P14309-018",1,"P14309-017",1,,,20,19,587.093139648438
"H14309-04-03","P14309-031",1,"P14309-004",1,,,20,27,587.093139648438
"H14309-04-04","P14309-022",1,"P14309-021",2,,,18,24,587.093139648438
"H14309-04-04","P14309-023",3,,,3,,,,587.093139648438
"H14309-04-05","P14309-012",1,"P14309-011",1,,,24,26,587.093139648438
"H14310-04-01","P14310-002",1,"P14310-001",1,,,20,40,2935.46557617188
"H14401-04-01","P14401-003",3,,,1,2,18,23,2935.46557617188
"H14402-04-02","P14402-005",1,"P14402-004",1,,,18,45,1467.73278808594
"H14403-04-01","P14403-002",2,"P14403-001",1,,,16,30,2935.46557617188
"H14404-04-01","P14404-011",1,"P14404-010",1,,,17,19,978.488586425781
"H14404-04-03","P14404-007",1,"P14404-006",2,,,18,22,978.488586425781
"H14405-04-01","P14405-002",1,"P14405-008",1,,,14,22,2935.46557617188
"H14405-04-01","P14405-007",1,"P14405-001",1,,,24,29,2935.46557617188
"H14406-04-01","P14406-004",3,,,3,,,,2935.46557617188
"H14407-04-02","P14407-003",1,"P14407-002",1,,,18,19,1467.73278808594
"H14408-04-01","P14408-002",1,"P14408-001",1,,,15,21,2935.46557617188
"H14409-04-01","P14409-003",1,"P14409-002",2,,,18,22,2935.46557617188
"H14410-04-02","P14410-002",1,"P14410-001",1,,,21,32,2935.46557617188
"H14606-04-01","P14606-010",1,"P14606-006",2,,,17,24,2935.46557617188
"H14612-04-01","P14612-010",3,,,3,,,,2935.46557617188
"H14612-04-01","P14612-002",1,"P14612-001",1,,,22,30,2935.46557617188
"H14801-04-02","P14801-002",3,,,1,1,18,31,1467.73278808594
"H14803-04-01","P14803-002",1,"P14803-001",1,,,18,25,2935.46557617188
"H14805-04-01","P14805-003",3,,,3,,,,2935.46557617188
"H14805-04-01","P14805-002",1,"P14805-001",1,,,15,26,2935.46557617188
"H14806-04-01","P14806-008",2,"P14806-007",1,,,20,25,978.488464355469
"H14806-04-02","P14806-004",3,,,3,,,,978.488464355469
"H14807-04-01","P14807-002",1,"P14807-001",1,,,15,19,1467.73278808594
"H14807-04-02","P14807-003",2,"P14807-010",1,,,16,17,1467.73278808594
"H14808-04-02","P14808-003",2,"P14808-010",1,,,17,21,1467.73278808594
"H14809-04-01","P14809-001",1,,1,,,17,24,2935.46557617188
"H14810-04-01","P14810-002",1,"P14810-001",2,,,17,20,2935.46557617188
"H14903-04-01","P14903-002",1,"P14903-001",1,,,0,0,1467.73278808594
"H14903-04-01","P14903-004",3,,,3,,,,1467.73278808594
"H14903-04-02","P14903-013",2,"P14903-003",1,,,16,20,1467.73278808594
"H14906-04-01","P14906-002",1,"P14906-001",1,,,0,0,1467.73278808594
"H14906-04-02","P14906-007",2,"P14906-003",1,,,0,0,1467.73278808594
"H14907-04-01","P14907-002",1,"P14907-001",1,,,23,27,2935.46557617188
"H14908-04-01","P14908-002",2,"P14908-001",2,,,19,55,2935.46557617188
"H14910-04-01","P14910-002",1,"P14910-001",1,,,16,22,2935.46557617188
"H15003-04-01","P15003-002",2,"P15003-001",1,,,19,22,2935.46557617188
"H15005-04-01","P15005-002",3,,,3,,,,2935.46557617188
"H15007-04-01","P15007-016",3,,,1,3,18,24,1467.73278808594
"H15007-04-01","P15007-002",3,,,1,1,20,26,1467.73278808594
"H15008-04-02","P15008-010",2,"P15008-003",1,,,20,23,1467.73278808594
"H15009-04-01","P15009-002",1,"P15009-001",1,,,22,27,2935.46557617188
"H15009-04-01","P15009-003",3,,,3,,,,2935.46557617188
"H15010-04-01","P15010-009",3,,,3,,,,2935.46557617188
"H15010-04-01","P15010-004",3,,,3,,,,2935.46557617188
"H15102-04-01","P15102-007",3,,,3,,,,1467.73303222656
"H15103-04-01","P15103-002",1,"P15103-001",2,,,18,50,2935.46606445313
"H15103-04-01","P15103-003",3,,,3,,,,2935.46606445313
"H15103-04-01","P15103-004",3,,,3,,,,2935.46606445313
"H15105-04-01","P15105-002",2,"P15105-001",1,,,20,24,2935.46606445313
"H15105-04-01","P15105-003",3,,,3,,,,2935.46606445313
"H15108-04-01","P15108-002",1,"P15108-001",1,,,18,31,2935.46606445313
"H15109-04-01","P15109-004",3,,,3,,,,1467.73303222656
"H15109-04-01","P15109-002",1,"P15109-001",2,,,18,22,1467.73303222656
"H15109-04-02","P15109-011",1,"P15109-010",2,,,21,42,1467.73303222656
"H15110-04-01","P15110-002",1,"P15110-001",1,,,18,34,2935.46606445313
"H15301-04-01","P15301-004",2,"P15301-001",2,,,15,24,1467.73278808594
"H15302-04-01","P15302-006",3,,,3,,,,2935.46557617188
"H15302-04-01","P15302-004",3,,,3,,,,2935.46557617188
"H15302-04-01","P15302-002",1,"P15302-001",1,,,15,24,2935.46557617188
"H15305-04-01","P15305-002",1,"P15305-001",1,,,21,27,2935.46557617188
"H15306-04-01","P15306-002",2,"P15306-001",1,,,18,25,2935.46557617188
"H15309-04-01","P15309-002",1,"P15309-001",1,,,17,25,1467.73278808594
"H15309-04-02","P15309-007",2,"P15309-006",1,,,23,27,1467.73278808594
"H15310-04-01","P15310-004",3,,,3,,,,2935.46557617188
"H15310-04-01","P15310-006",3,,,3,,,,2935.46557617188
