"HHID","AGroup_ID","a11q1a","a11q1b","a11q1c","a11q2","a11q3","a11q4","a11q5","hh","wgt_X"
150060401,105,1,1,,2,2,2,,"H15006-04-01",2935.46557617188
150060401,107,1,1,,,,,,"H15006-04-01",2935.46557617188
150070401,105,1,1,,2,2,2,,"H15007-04-01",1467.73278808594
150070401,107,1,1,,,,,,"H15007-04-01",1467.73278808594
150070402,105,1,1,,2,2,2,,"H15007-04-02",1467.73278808594
150070402,106,1,1,,2,2,2,,"H15007-04-02",1467.73278808594
150070402,107,1,1,,,,,,"H15007-04-02",1467.73278808594
150070402,108,1,1,,,,,,"H15007-04-02",1467.73278808594
150080401,107,6,6,,,,,,"H15008-04-01",1467.73278808594
150090401,101,1,1,,2,2,2,,"H15009-04-01",2935.46557617188
150090401,106,1,1,,2,2,2,,"H15009-04-01",2935.46557617188
150090401,107,1,1,,,,,,"H15009-04-01",2935.46557617188
150100401,101,4,2,,2,2,2,,"H15010-04-01",2935.46557617188
150100401,106,1,1,,2,2,2,,"H15010-04-01",2935.46557617188
150100401,107,1,1,,,,,,"H15010-04-01",2935.46557617188
151010401,105,6,6,,2,2,2,,"H15101-04-01",2935.46606445313
151010401,107,6,6,,,,,,"H15101-04-01",2935.46606445313
151020401,106,1,6,,2,2,2,,"H15102-04-01",1467.73303222656
151020401,107,1,6,,,,,,"H15102-04-01",1467.73303222656
151030401,107,6,6,,,,,,"H15103-04-01",2935.46606445313
151040401,107,6,6,,,,,,"H15104-04-01",2935.46606445313
151050401,101,1,1,,2,2,2,,"H15105-04-01",2935.46606445313
151050401,106,1,1,,2,2,2,,"H15105-04-01",2935.46606445313
151060401,107,6,6,,,,,,"H15106-04-01",2935.46606445313
151070401,105,1,1,,2,2,2,,"H15107-04-01",2935.46606445313
151070401,106,1,1,,2,2,2,,"H15107-04-01",2935.46606445313
151070401,107,6,6,,,,,,"H15107-04-01",2935.46606445313
151080401,106,1,1,,2,2,2,,"H15108-04-01",2935.46606445313
151080401,107,1,1,,,,,,"H15108-04-01",2935.46606445313
151090401,101,1,1,,2,2,2,,"H15109-04-01",1467.73303222656
151090401,105,1,1,,2,1,1,200000,"H15109-04-01",1467.73303222656
151090401,107,1,1,,,,,,"H15109-04-01",1467.73303222656
151090402,101,1,1,,2,2,2,,"H15109-04-02",1467.73303222656
151090402,107,6,6,,,,,,"H15109-04-02",1467.73303222656
151100401,106,1,1,,2,2,2,,"H15110-04-01",2935.46606445313
151100401,107,1,1,,,,,,"H15110-04-01",2935.46606445313
153010401,101,1,1,,2,2,2,,"H15301-04-01",1467.73278808594
153010401,107,6,6,,,,,,"H15301-04-01",1467.73278808594
153010402,102,6,6,,2,2,2,,"H15301-04-02",1467.73278808594
153010402,105,6,6,,2,2,2,,"H15301-04-02",1467.73278808594
153010402,106,6,6,,2,2,2,,"H15301-04-02",1467.73278808594
153010402,107,6,6,,,,,,"H15301-04-02",1467.73278808594
153020401,101,1,1,,2,2,2,,"H15302-04-01",2935.46557617188
153020401,105,1,1,,2,2,2,,"H15302-04-01",2935.46557617188
153020401,106,1,1,,2,2,2,,"H15302-04-01",2935.46557617188
153020401,107,1,1,,,,,,"H15302-04-01",2935.46557617188
153020401,108,1,1,,,,,,"H15302-04-01",2935.46557617188
153040401,106,1,1,,2,2,2,,"H15304-04-01",2935.46557617188
153040401,107,6,6,,,,,,"H15304-04-01",2935.46557617188
153050401,105,1,1,,2,2,2,,"H15305-04-01",2935.46557617188
153050401,107,6,6,,,,,,"H15305-04-01",2935.46557617188
153080401,106,1,1,,2,2,2,,"H15308-04-01",2935.46557617188
153080401,107,6,6,,,,,,"H15308-04-01",2935.46557617188
153090401,105,1,1,,2,2,2,,"H15309-04-01",1467.73278808594
153090401,107,1,1,,,,,,"H15309-04-01",1467.73278808594
153090402,107,6,6,,,,,,"H15309-04-02",1467.73278808594
153100401,105,1,1,,2,1,1,10000,"H15310-04-01",2935.46557617188
153100401,106,1,1,,2,2,2,,"H15310-04-01",2935.46557617188
153100401,107,1,1,,,,,,"H15310-04-01",2935.46557617188
153100401,108,1,1,,,,,,"H15310-04-01",2935.46557617188
155020401,107,1,1,,,,,,"H15502-04-01",2935.46557617188
155030401,101,1,1,,2,2,2,,"H15503-04-01",2935.46557617188
155040401,101,1,1,,2,2,2,,"H15504-04-01",2935.46557617188
155040401,107,1,1,,,,,,"H15504-04-01",2935.46557617188
155050401,101,1,1,,2,2,2,,"H15505-04-01",1467.73278808594
155050401,107,1,1,,,,,,"H15505-04-01",1467.73278808594
155050402,101,1,1,,2,2,2,,"H15505-04-02",1467.73278808594
155050402,106,1,1,,2,2,2,,"H15505-04-02",1467.73278808594
155050402,107,1,1,,,,,,"H15505-04-02",1467.73278808594
155080401,101,1,1,,2,2,2,,"H15508-04-01",2935.46557617188
155080401,107,6,6,,,,,,"H15508-04-01",2935.46557617188
155090401,101,1,1,,2,2,2,,"H15509-04-01",2935.46557617188
155090401,106,1,1,,2,2,2,,"H15509-04-01",2935.46557617188
155090401,107,6,6,,,,,,"H15509-04-01",2935.46557617188
155100401,101,1,1,,2,2,2,,"H15510-04-01",2935.46557617188
155100401,106,1,1,,2,2,2,,"H15510-04-01",2935.46557617188
155100401,107,6,6,,,,,,"H15510-04-01",2935.46557617188
159020401,107,6,6,,,,,,"H15902-04-01",2935.46606445313
159030401,105,4,1,,2,1,2,,"H15903-04-01",2935.46606445313
159030401,106,6,6,,2,2,2,,"H15903-04-01",2935.46606445313
159030401,107,6,6,,,,,,"H15903-04-01",2935.46606445313
159040401,107,6,6,,,,,,"H15904-04-01",2935.46606445313
159050401,107,6,6,,,,,,"H15905-04-01",2935.46606445313
159070401,105,1,1,,2,1,2,,"H15907-04-01",1467.73303222656
159070401,107,6,6,,,,,,"H15907-04-01",1467.73303222656
159090401,101,1,1,,2,2,2,,"H15909-04-01",978.488708496094
159090401,108,6,6,,,,,,"H15909-04-01",978.488708496094
159090402,107,6,6,,,,,,"H15909-04-02",978.488708496094
159090403,105,1,1,,2,2,2,,"H15909-04-03",978.488708496094
159090403,106,6,6,,2,2,2,,"H15909-04-03",978.488708496094
159090403,107,6,6,,,,,,"H15909-04-03",978.488708496094
162020401,105,1,4,,2,2,2,,"H16202-04-01",2935.46557617188
162030401,106,1,1,,2,2,2,,"H16203-04-01",2935.46557617188
162030401,107,1,1,,,,,,"H16203-04-01",2935.46557617188
162040401,105,1,1,,2,1,2,,"H16204-04-01",2935.46557617188
162040401,106,1,1,,2,2,2,,"H16204-04-01",2935.46557617188
162040401,107,1,1,,,,,,"H16204-04-01",2935.46557617188
162040401,108,1,1,,,,,,"H16204-04-01",2935.46557617188
162050401,106,1,1,,1,2,2,,"H16205-04-01",2935.46557617188
162050401,107,1,1,,,,,,"H16205-04-01",2935.46557617188
162070401,106,1,1,,2,2,2,,"H16207-04-01",2935.46557617188
162070401,107,1,1,,,,,,"H16207-04-01",2935.46557617188
162090401,105,1,4,,1,1,1,100000,"H16209-04-01",2935.46557617188
162090401,107,1,1,,,,,,"H16209-04-01",2935.46557617188
162100401,105,1,4,,1,1,1,60000,"H16210-04-01",2935.46557617188
162100401,106,1,6,,2,2,2,,"H16210-04-01",2935.46557617188
162100401,107,1,6,,,,,,"H16210-04-01",2935.46557617188
162100401,108,1,6,,,,,,"H16210-04-01",2935.46557617188
163020401,106,1,6,,2,2,2,,"H16302-04-01",2935.46557617188
163040401,105,6,6,,1,1,1,5000,"H16304-04-01",2935.46557617188
163040401,106,6,6,,2,2,2,,"H16304-04-01",2935.46557617188
163040401,107,6,2,,,,,,"H16304-04-01",2935.46557617188
163050401,106,1,1,,2,2,2,,"H16305-04-01",978.488586425781
163060401,105,1,6,,2,2,2,,"H16306-04-01",2935.46557617188
163070401,105,1,4,,1,1,1,90000,"H16307-04-01",2935.46557617188
163070401,106,1,1,,2,2,2,,"H16307-04-01",2935.46557617188
163070401,107,1,1,,,,,,"H16307-04-01",2935.46557617188
163070401,108,1,1,,,,,,"H16307-04-01",2935.46557617188
163080401,107,1,1,,,,,,"H16308-04-01",1467.73278808594
163090401,105,1,4,,2,2,2,,"H16309-04-01",2935.46557617188
163090401,106,1,6,,2,2,2,,"H16309-04-01",2935.46557617188
163100401,107,6,6,,,,,,"H16310-04-01",2935.46557617188
163100401,108,6,6,,,,,,"H16310-04-01",2935.46557617188
164010401,105,1,4,,1,1,1,60000,"H16401-04-01",2935.46557617188
164010401,106,1,6,,2,2,2,,"H16401-04-01",2935.46557617188
164010401,107,1,6,,,,,,"H16401-04-01",2935.46557617188
164020401,105,1,1,,2,2,2,,"H16402-04-01",2935.46557617188
164020401,106,1,1,,2,2,2,,"H16402-04-01",2935.46557617188
164020401,107,1,1,,,,,,"H16402-04-01",2935.46557617188
164020401,108,1,1,,,,,,"H16402-04-01",2935.46557617188
164040401,106,1,6,,2,2,2,,"H16404-04-01",2935.46557617188
164040401,107,1,6,,,,,,"H16404-04-01",2935.46557617188
164040401,108,1,6,,,,,,"H16404-04-01",2935.46557617188
164050401,105,1,6,,2,1,1,35000,"H16405-04-01",1467.73278808594
164050401,107,1,6,,,,,,"H16405-04-01",1467.73278808594
164050402,107,6,6,,,,,,"H16405-04-02",1467.73278808594
164060401,105,1,4,,1,1,2,,"H16406-04-01",2935.46557617188
164060401,106,1,1,,2,2,2,,"H16406-04-01",2935.46557617188
164070401,105,1,4,,2,1,2,,"H16407-04-01",978.488586425781
164080401,105,1,4,,2,2,2,,"H16408-04-01",2935.46557617188
164080401,106,1,6,,2,2,2,,"H16408-04-01",2935.46557617188
164080401,107,1,6,,,,,,"H16408-04-01",2935.46557617188
164090401,105,1,4,,2,1,2,,"H16409-04-01",733.866394042969
164090401,106,1,1,,2,2,2,,"H16409-04-01",733.866394042969
164090401,107,1,1,,,,,,"H16409-04-01",733.866394042969
164090402,105,6,6,,2,1,1,30000,"H16409-04-02",733.866394042969
164090402,106,6,6,,2,2,2,,"H16409-04-02",733.866394042969
164090402,107,6,6,,,,,,"H16409-04-02",733.866394042969
164090403,105,6,6,,2,1,2,,"H16409-04-03",733.866394042969
164090403,106,6,6,,2,2,2,,"H16409-04-03",733.866394042969
164090403,107,6,6,,,,,,"H16409-04-03",733.866394042969
164090404,107,1,6,,,,,,"H16409-04-04",733.866394042969
164100401,105,4,4,,1,1,1,45000,"H16410-04-01",2935.46557617188
164100401,106,1,1,,2,2,2,,"H16410-04-01",2935.46557617188
164100401,107,1,1,,,,,,"H16410-04-01",2935.46557617188
164100401,108,6,6,,,,,,"H16410-04-01",2935.46557617188
165010401,106,1,1,,2,2,2,,"H16501-04-01",1467.73278808594
165010401,107,1,1,,,,,,"H16501-04-01",1467.73278808594
165010402,105,1,1,,2,2,2,,"H16501-04-02",1467.73278808594
165010402,106,1,1,,2,2,2,,"H16501-04-02",1467.73278808594
165010402,107,1,1,,,,,,"H16501-04-02",1467.73278808594
165020401,106,1,6,,2,2,2,,"H16502-04-01",2935.46557617188
165020401,107,1,6,,,,,,"H16502-04-01",2935.46557617188
165050401,105,1,4,,1,1,1,200000,"H16505-04-01",978.488586425781
165060401,105,1,1,,2,2,2,,"H16506-04-01",2935.46557617188
165060401,106,1,1,,2,2,2,,"H16506-04-01",2935.46557617188
165060401,108,6,6,,,,,,"H16506-04-01",2935.46557617188
165070401,105,1,7,,2,2,2,,"H16507-04-01",2935.46557617188
165070401,106,1,6,,2,2,2,,"H16507-04-01",2935.46557617188
165070401,107,1,6,,,,,,"H16507-04-01",2935.46557617188
165080401,107,1,6,,,,,,"H16508-04-01",2935.46557617188
165090401,105,1,1,,1,1,2,,"H16509-04-01",2935.46557617188
165090401,106,1,1,,2,2,2,,"H16509-04-01",2935.46557617188
165090401,107,1,1,,,,,,"H16509-04-01",2935.46557617188
165100401,105,1,4,,1,1,1,60000,"H16510-04-01",2935.46557617188
165100401,106,1,1,,2,2,2,,"H16510-04-01",2935.46557617188
165100401,107,1,1,,,,,,"H16510-04-01",2935.46557617188
166040401,106,6,6,,2,2,2,,"H16604-04-01",1467.73278808594
166060401,106,1,1,,2,2,2,,"H16606-04-01",2935.46557617188
166060401,107,1,1,,,,,,"H16606-04-01",2935.46557617188
166070401,106,1,6,,2,2,2,,"H16607-04-01",2935.46557617188
166070401,107,6,6,,,,,,"H16607-04-01",2935.46557617188
166090401,107,6,6,,,,,,"H16609-04-01",2935.46557617188
166110401,105,1,1,,2,2,2,,"H16611-04-01",2935.46557617188
166110401,107,6,6,,,,,,"H16611-04-01",2935.46557617188
167010401,106,6,6,,2,2,2,,"H16701-04-01",2935.46557617188
167010401,107,6,6,,,,,,"H16701-04-01",2935.46557617188
167020401,106,1,1,,2,2,2,,"H16702-04-01",2935.46557617188
167020401,107,1,1,,,,,,"H16702-04-01",2935.46557617188
167040401,105,6,6,,2,2,2,,"H16704-04-01",1467.73278808594
167040401,106,6,6,,2,2,2,,"H16704-04-01",1467.73278808594
167040401,107,6,6,,,,,,"H16704-04-01",1467.73278808594
167040402,106,6,6,,2,2,2,,"H16704-04-02",1467.73278808594
167040402,107,6,6,,,,,,"H16704-04-02",1467.73278808594
167050401,107,1,1,,,,,,"H16705-04-01",2935.46557617188
167070401,105,6,6,,2,2,2,,"H16707-04-01",2935.46557617188
167070401,107,6,6,,,,,,"H16707-04-01",2935.46557617188
167080401,105,6,6,,2,2,2,,"H16708-04-01",2935.46557617188
167100401,105,6,6,,2,2,2,,"H16710-04-01",2935.46557617188
168020401,105,6,6,,2,2,2,,"H16802-04-01",2935.46606445313
168020401,107,6,6,,,,,,"H16802-04-01",2935.46606445313
168030401,106,6,6,,2,2,2,,"H16803-04-01",2935.46606445313
168030401,107,6,6,,,,,,"H16803-04-01",2935.46606445313
168040401,105,6,6,,2,2,2,,"H16804-04-01",1467.73303222656
168040401,106,6,6,,2,2,2,,"H16804-04-01",1467.73303222656
168040403,105,6,6,,1,1,2,,"H16804-04-03",1467.73303222656
168040403,107,6,6,,,,,,"H16804-04-03",1467.73303222656
168060401,107,6,6,,,,,,"H16806-04-01",1467.73303222656
168060402,105,4,4,,2,2,2,,"H16806-04-02",1467.73303222656
168070401,105,4,4,,2,2,2,,"H16807-04-01",2935.46606445313
168070401,106,6,6,,2,2,2,,"H16807-04-01",2935.46606445313
168070401,107,6,6,,,,,,"H16807-04-01",2935.46606445313
168080401,106,6,6,,2,2,2,,"H16808-04-01",2935.46606445313
168090401,106,6,6,,2,2,2,,"H16809-04-01",978.488708496094
168090401,108,6,6,,,,,,"H16809-04-01",978.488708496094
168090403,106,6,6,,2,2,2,,"H16809-04-03",978.488708496094
168090403,107,6,6,,,,,,"H16809-04-03",978.488708496094
168100401,105,6,6,,2,2,2,,"H16810-04-01",2935.46606445313
168100401,107,6,6,,,,,,"H16810-04-01",2935.46606445313
170020401,106,1,1,,2,2,2,,"H17002-04-01",2935.46557617188
170020401,107,1,1,,,,,,"H17002-04-01",2935.46557617188
170030401,106,1,1,,2,2,2,,"H17003-04-01",2935.46557617188
170030401,107,1,1,,,,,,"H17003-04-01",2935.46557617188
170050401,107,6,6,,,,,,"H17005-04-01",2935.46557617188
170060401,107,6,6,,,,,,"H17006-04-01",2935.46557617188
170070402,106,6,6,,2,2,2,,"H17007-04-02",1467.73278808594
170080401,105,1,1,,2,2,2,,"H17008-04-01",2935.46557617188
170090401,106,6,6,,2,2,2,,"H17009-04-01",1467.73278808594
170090401,107,6,6,,,,,,"H17009-04-01",1467.73278808594
170090402,107,6,6,,,,,,"H17009-04-02",1467.73278808594
170100401,105,1,1,,2,2,2,,"H17010-04-01",1467.73278808594
170100401,106,1,1,,2,2,2,,"H17010-04-01",1467.73278808594
170100401,107,1,1,,,,,,"H17010-04-01",1467.73278808594
171020401,107,1,1,,,,,,"H17102-04-01",2935.46557617188
171050401,107,6,6,,,,,,"H17105-04-01",2935.46557617188
171070401,106,6,6,,2,2,2,,"H17107-04-01",2935.46557617188
171080401,107,6,6,,,,,,"H17108-04-01",2935.46557617188
171090401,106,1,1,,2,2,2,,"H17109-04-01",2935.46557617188
171090401,107,6,6,,,,,,"H17109-04-01",2935.46557617188
171100401,105,6,6,,2,1,2,,"H17110-04-01",2935.46557617188
171100401,106,1,1,,2,2,2,,"H17110-04-01",2935.46557617188
171100401,107,6,6,,,,,,"H17110-04-01",2935.46557617188
172020401,106,1,6,,2,2,2,,"H17202-04-01",2272.64404296875
172050401,105,1,1,,2,2,2,,"H17205-04-01",2272.64404296875
172050401,107,6,6,,,,,,"H17205-04-01",2272.64404296875
172050401,108,6,6,,,,,,"H17205-04-01",2272.64404296875
172060401,107,6,6,,,,,,"H17206-04-01",2272.64404296875
172070401,105,6,6,,2,2,2,,"H17207-04-01",1136.32202148438
172070401,107,6,6,,,,,,"H17207-04-01",1136.32202148438
172100401,104,1,6,,,,,,"H17210-04-01",2272.64404296875
173010401,106,1,6,,2,2,2,,"H17301-04-01",2272.64404296875
173010401,107,1,6,,,,,,"H17301-04-01",2272.64404296875
173080401,105,6,6,,2,2,2,,"H17308-04-01",2272.64404296875
173080401,107,6,6,,,,,,"H17308-04-01",2272.64404296875
173100401,106,6,6,,2,2,2,,"H17310-04-01",2272.64404296875
173100401,107,6,6,,,,,,"H17310-04-01",2272.64404296875
174010401,101,1,1,,2,2,2,,"H17401-04-01",1467.73278808594
174010401,106,1,1,,2,2,2,,"H17401-04-01",1467.73278808594
174010401,107,1,1,,,,,,"H17401-04-01",1467.73278808594
174030401,105,1,1,,2,2,2,,"H17403-04-01",2935.46557617188
174030401,106,6,6,,2,2,2,,"H17403-04-01",2935.46557617188
174030401,107,6,6,,,,,,"H17403-04-01",2935.46557617188
174040401,101,1,1,,2,2,2,,"H17404-04-01",2935.46557617188
174040401,106,6,6,,2,2,2,,"H17404-04-01",2935.46557617188
174040401,107,6,6,,,,,,"H17404-04-01",2935.46557617188
174080401,107,6,6,,,,,,"H17408-04-01",2935.46557617188
174090401,101,1,1,,2,2,2,,"H17409-04-01",2935.46557617188
174090401,106,1,1,,2,2,2,,"H17409-04-01",2935.46557617188
174090401,107,1,1,,,,,,"H17409-04-01",2935.46557617188
175020401,101,1,1,,2,2,2,,"H17502-04-01",2935.46557617188
175020401,106,1,1,,2,2,2,,"H17502-04-01",2935.46557617188
175020401,107,1,1,,,,,,"H17502-04-01",2935.46557617188
175030401,101,1,4,,2,2,2,,"H17503-04-01",2935.46557617188
175030401,106,1,1,,2,2,2,,"H17503-04-01",2935.46557617188
175030401,107,1,1,,,,,,"H17503-04-01",2935.46557617188
175040402,105,1,1,,2,2,2,,"H17504-04-02",2935.46557617188
175040402,106,1,6,,2,2,2,,"H17504-04-02",2935.46557617188
175040402,107,1,6,,,,,,"H17504-04-02",2935.46557617188
175040402,108,6,6,,,,,,"H17504-04-02",2935.46557617188
175060401,101,1,1,,2,2,2,,"H17506-04-01",2935.46557617188
175070401,107,6,6,,,,,,"H17507-04-01",2935.46557617188
175110401,107,1,1,,,,,,"H17511-04-01",978.488586425781
175110402,107,6,6,,,,,,"H17511-04-02",978.488586425781
176010401,101,1,1,,2,2,2,,"H17601-04-01",2935.46557617188
176010401,106,1,1,,2,2,2,,"H17601-04-01",2935.46557617188
176010401,107,1,1,,,,,,"H17601-04-01",2935.46557617188
176020401,101,1,1,,2,2,2,,"H17602-04-01",2935.46557617188
176040401,105,4,4,,2,2,2,,"H17604-04-01",2935.46557617188
176040401,106,6,6,,2,2,2,,"H17604-04-01",2935.46557617188
176040401,107,6,6,,,,,,"H17604-04-01",2935.46557617188
176050401,101,1,1,,2,2,2,,"H17605-04-01",2935.46557617188
176050401,106,6,6,,2,2,2,,"H17605-04-01",2935.46557617188
176050401,107,6,6,,,,,,"H17605-04-01",2935.46557617188
176060401,105,1,1,,2,2,2,,"H17606-04-01",2935.46557617188
176060401,107,6,6,,,,,,"H17606-04-01",2935.46557617188
176080401,101,1,1,,2,2,2,,"H17608-04-01",1467.73278808594
176080401,107,6,6,,,,,,"H17608-04-01",1467.73278808594
176080402,107,1,1,,,,,,"H17608-04-02",1467.73278808594
176090401,107,6,6,,,,,,"H17609-04-01",2935.46557617188
176090401,108,6,6,,,,,,"H17609-04-01",2935.46557617188
176100401,105,1,1,,2,2,2,,"H17610-04-01",2935.46557617188
176100401,106,1,1,,2,2,2,,"H17610-04-01",2935.46557617188
176100401,107,6,6,,,,,,"H17610-04-01",2935.46557617188
177010401,107,1,1,,,,,,"H17701-04-01",2935.46557617188
177030401,107,6,6,,,,,,"H17703-04-01",2935.46557617188
177040401,102,1,1,,2,2,2,,"H17704-04-01",2935.46557617188
177040401,105,1,1,,2,2,2,,"H17704-04-01",2935.46557617188
177040401,107,1,6,,,,,,"H17704-04-01",2935.46557617188
177070402,101,1,1,,2,2,2,,"H17707-04-02",978.488586425781
177070403,105,1,1,,2,2,2,,"H17707-04-03",978.488586425781
177070403,107,6,6,,,,,,"H17707-04-03",978.488586425781
177080401,101,1,4,,2,2,2,,"H17708-04-01",1467.73278808594
177080401,107,6,6,,,,,,"H17708-04-01",1467.73278808594
177080402,107,6,6,,,,,,"H17708-04-02",1467.73278808594
177090401,105,1,1,,2,2,2,,"H17709-04-01",2935.46557617188
177090401,107,6,6,,,,,,"H17709-04-01",2935.46557617188
177100401,101,1,1,,2,2,2,,"H17710-04-01",2935.46557617188
177100401,102,1,1,,2,2,2,,"H17710-04-01",2935.46557617188
177100401,107,1,1,,,,,,"H17710-04-01",2935.46557617188
180010401,106,6,6,,2,2,2,,"H18001-04-01",1102.41516113281
180010401,107,6,6,,,,,,"H18001-04-01",1102.41516113281
180010402,107,6,6,,,,,,"H18001-04-02",1102.41516113281
180100401,105,6,6,,2,2,2,,"H18010-04-01",2204.83032226563
180100401,106,6,6,,2,2,2,,"H18010-04-01",2204.83032226563
180100401,107,6,6,,,,,,"H18010-04-01",2204.83032226563
180110401,105,6,6,,2,2,2,,"H18011-04-01",2204.83032226563
180110401,106,6,6,,2,2,2,,"H18011-04-01",2204.83032226563
180130401,107,6,6,,,,,,"H18013-04-01",2204.83032226563
181020401,105,4,4,,2,2,2,,"H18102-04-01",2204.83032226563
181020401,106,6,6,,2,2,2,,"H18102-04-01",2204.83032226563
181020401,107,6,6,,,,,,"H18102-04-01",2204.83032226563
181030401,105,6,6,,2,2,2,,"H18103-04-01",734.943481445313
181030401,106,6,6,,2,2,2,,"H18103-04-01",734.943481445313
181030401,107,6,6,,,,,,"H18103-04-01",734.943481445313
181030402,105,6,6,,2,2,2,,"H18103-04-02",734.943481445313
181030402,106,6,6,,2,2,2,,"H18103-04-02",734.943481445313
181030402,107,6,6,,,,,,"H18103-04-02",734.943481445313
181040401,105,6,6,,2,2,2,,"H18104-04-01",551.207580566406
181040401,106,6,6,,2,2,2,,"H18104-04-01",551.207580566406
181040401,107,6,6,,,,,,"H18104-04-01",551.207580566406
181040402,106,6,6,,2,2,2,,"H18104-04-02",551.207580566406
181040403,107,6,6,,,,,,"H18104-04-03",551.207580566406
181040404,106,6,6,,2,1,2,,"H18104-04-04",551.207580566406
181040404,107,6,6,,,,,,"H18104-04-04",551.207580566406
181050401,105,6,4,,2,2,2,,"H18105-04-01",2204.83032226563
181050401,106,6,6,,2,2,2,,"H18105-04-01",2204.83032226563
181050401,107,6,6,,,,,,"H18105-04-01",2204.83032226563
181060401,106,6,6,,2,2,2,,"H18106-04-01",2204.83032226563
181060401,107,6,6,,,,,,"H18106-04-01",2204.83032226563
181070401,106,4,6,,2,2,2,,"H18107-04-01",2204.83032226563
181070401,107,6,6,,,,,,"H18107-04-01",2204.83032226563
181080401,105,6,6,,2,1,2,,"H18108-04-01",2204.83032226563
181080401,107,6,6,,,,,,"H18108-04-01",2204.83032226563
181090401,105,6,6,,2,2,2,,"H18109-04-01",2204.83032226563
181090401,106,6,6,,2,2,2,,"H18109-04-01",2204.83032226563
181090401,107,6,6,,,,,,"H18109-04-01",2204.83032226563
182020402,107,6,6,,,,,,"H18202-04-02",367.4716796875
182020403,107,6,6,,,,,,"H18202-04-03",367.4716796875
182020404,107,6,6,,,,,,"H18202-04-04",367.4716796875
182020405,107,6,6,,,,,,"H18202-04-05",367.4716796875
182020406,106,6,6,,2,2,2,,"H18202-04-06",367.4716796875
182030401,106,6,6,,2,2,2,,"H18203-04-01",2204.83032226563
182030401,107,6,6,,,,,,"H18203-04-01",2204.83032226563
182030401,108,6,6,,,,,,"H18203-04-01",2204.83032226563
182040401,105,6,6,,2,1,2,,"H18204-04-01",1102.41516113281
182040402,106,6,6,,2,2,2,,"H18204-04-02",1102.41516113281
182050401,107,6,6,,,,,,"H18205-04-01",1102.41516113281
182060401,105,6,6,,2,2,2,,"H18206-04-01",1102.41516113281
182060401,106,6,6,,2,2,2,,"H18206-04-01",1102.41516113281
182060401,107,6,6,,,,,,"H18206-04-01",1102.41516113281
182060402,106,6,6,,2,2,2,,"H18206-04-02",1102.41516113281
182060402,107,6,6,,,,,,"H18206-04-02",1102.41516113281
182070401,105,6,6,,2,1,1,31000,"H18207-04-01",1102.41516113281
182070401,106,6,6,,2,2,2,,"H18207-04-01",1102.41516113281
182070401,107,6,6,,,,,,"H18207-04-01",1102.41516113281
182070401,108,6,6,,,,,,"H18207-04-01",1102.41516113281
182080401,106,6,6,,2,2,2,,"H18208-04-01",2204.83032226563
182080401,107,6,6,,,,,,"H18208-04-01",2204.83032226563
182090401,105,6,6,,2,1,2,,"H18209-04-01",1102.41516113281
182090401,106,6,6,,2,2,2,,"H18209-04-01",1102.41516113281
182090401,107,6,6,,,,,,"H18209-04-01",1102.41516113281
182090401,108,6,6,,,,,,"H18209-04-01",1102.41516113281
182090402,106,6,6,,2,2,2,,"H18209-04-02",1102.41516113281
182090402,107,6,6,,,,,,"H18209-04-02",1102.41516113281
182090402,108,6,6,,,,,,"H18209-04-02",1102.41516113281
182100401,105,4,6,,2,1,1,20000,"H18210-04-01",440.966064453125
182100401,106,4,6,,2,2,2,,"H18210-04-01",440.966064453125
182100401,107,4,6,,,,,,"H18210-04-01",440.966064453125
182100402,105,6,6,,2,1,1,30000,"H18210-04-02",440.966064453125
182100402,106,6,6,,2,2,2,,"H18210-04-02",440.966064453125
182100402,107,6,6,,,,,,"H18210-04-02",440.966064453125
182100403,105,6,6,,2,1,2,,"H18210-04-03",440.966064453125
182100403,106,6,6,,2,2,2,,"H18210-04-03",440.966064453125
182100405,105,6,6,,2,2,2,,"H18210-04-05",440.966064453125
183010401,105,6,6,,2,2,2,,"H18301-04-01",314.975738525391
183010401,106,6,6,,2,2,2,,"H18301-04-01",314.975738525391
183010401,107,6,6,,,,,,"H18301-04-01",314.975738525391
183010402,105,6,6,,2,2,2,,"H18301-04-02",314.975738525391
183010402,107,6,6,,,,,,"H18301-04-02",314.975738525391
183010403,107,6,6,,,,,,"H18301-04-03",314.975738525391
183010404,106,6,6,,2,2,2,,"H18301-04-04",314.975738525391
183010404,107,6,6,,,,,,"H18301-04-04",314.975738525391
183010405,105,4,6,,2,2,2,,"H18301-04-05",314.975738525391
183010405,106,6,6,,2,2,2,,"H18301-04-05",314.975738525391
183010405,107,6,6,,,,,,"H18301-04-05",314.975738525391
183010406,105,4,6,,2,2,2,,"H18301-04-06",314.975738525391
183010406,106,6,6,,2,2,2,,"H18301-04-06",314.975738525391
183010406,107,6,6,,,,,,"H18301-04-06",314.975738525391
183010407,105,4,6,,2,2,2,,"H18301-04-07",314.975738525391
183010407,107,6,6,,,,,,"H18301-04-07",314.975738525391
183030401,105,6,6,,2,1,2,,"H18303-04-01",2204.83032226563
183030401,106,6,6,,2,2,2,,"H18303-04-01",2204.83032226563
183030401,107,6,6,,,,,,"H18303-04-01",2204.83032226563
183050401,105,6,6,,2,1,2,,"H18305-04-01",2204.83032226563
183050401,106,6,6,,2,2,2,,"H18305-04-01",2204.83032226563
